"Ad name","Ad delivery","Attribution setting",Results,"Result indicator",Reach,Frequency,"Cost per results","Ad set budget","Ad set budget type","Amount spent (USD)",Ends,Impressions,"CPM (cost per 1,000 impressions) (USD)","Link clicks","CPC (cost per link click) (USD)","CTR (link click-through rate)","Clicks (all)","CTR (all)","CPC (all) (USD)","Landing page views","Content views","Website content views","Checkouts Initiated","Website checkouts initiated","Adds of payment info","Website adds of payment info","Purchase ROAS (return on ad spend)","Website purchase ROAS (return on ad spend)",Purchases,"Website purchases","Date created","Date last edited",Objective,Bid,"Bid type","Reporting starts","Reporting ends",Starts
"MINI Aboutus v3 t4 BF",inactive,"7-day click or 1-day view",66,actions:offsite_conversion.fb_pixel_purchase,103839,1.467522,84.0580303,220,Daily,5547.83,מתמשך,152386,36.406428,4402,1.260298,2.888717,7025,4.610004,0.789727,3415,2360,2360,68,68,45,45,0.859904,0.859904,66,66,2021-10-31,2021-12-15,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2021-11-01
"Petite treeoflife BF",inactive,"7-day click or 1-day view",7,actions:offsite_conversion.fb_pixel_purchase,7742,1.646603,88.47714286,100,Daily,619.34,מתמשך,12748,48.583307,82,7.552927,0.643238,338,2.651396,1.832367,75,279,279,7,7,6,6,1.326412,1.326412,7,7,2021-11-10,2024-10-07,CONVERSIONS,170,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2021-11-10
"Mini BF 2021 mini1",inactive,"7-day click or 1-day view",,,398,1.773869,,"Using campaign budget",0,49.89,מתמשך,706,70.665722,31,1.609355,4.390935,38,5.382436,1.312895,26,13,13,,,,,,,,,2021-11-12,2021-11-14,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2021-11-12
"Mini BF 2021 mini2",inactive,"7-day click or 1-day view",2,actions:offsite_conversion.fb_pixel_purchase,869,4.237054,63.125,"Using campaign budget",0,126.25,מתמשך,3682,34.28843,45,2.805556,1.222162,57,1.548072,2.214912,37,69,69,4,4,2,2,2.270495,2.270495,2,2,2021-11-12,2024-10-07,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2021-11-12
"Mini BF 2021 mini2b",inactive,"7-day click or 1-day view",3,actions:offsite_conversion.fb_pixel_purchase,1652,4.469734,110.36,"Using campaign budget",0,331.08,מתמשך,7384,44.837486,109,3.037431,1.476165,131,1.774106,2.527328,104,122,122,2,2,1,1,0.178205,0.178205,3,3,2021-11-12,2024-10-07,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2021-11-12
"Mini BF 2021 mini1",inactive,"7-day click or 1-day view",7,actions:offsite_conversion.fb_pixel_purchase,1876,2.441898,26.96428571,"Using campaign budget",0,188.75,מתמשך,4581,41.202794,104,1.814904,2.270247,155,3.383541,1.217742,101,114,114,5,5,5,5,3.300662,3.300662,7,7,2021-11-12,2024-10-07,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2021-11-12
"Mini BF 2021 mini2",inactive,"7-day click or 1-day view",4,actions:offsite_conversion.fb_pixel_purchase,1939,2.494585,34.96,"Using campaign budget",0,139.84,מתמשך,4837,28.910482,61,2.292459,1.261112,92,1.902005,1.52,42,55,55,4,4,4,4,4.689288,4.689288,4,4,2021-11-12,2024-10-07,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2021-11-12
"Mini BF 2021 mini2b",inactive,"7-day click or 1-day view",30,actions:offsite_conversion.fb_pixel_purchase,9923,2.87796,36.389,"Using campaign budget",0,1091.67,מתמשך,28558,38.226416,700,1.559529,2.451152,891,3.119966,1.225219,696,551,551,17,17,18,18,2.213847,2.213847,30,30,2021-11-12,2024-10-07,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2021-11-12
"Petite treeoflife BF",inactive,"7-day click or 1-day view",,,343,1.271137,,200,Daily,43.19,מתמשך,436,99.059633,3,14.396667,0.688073,5,1.146789,8.638,2,1,1,,,,,,,,,2021-11-16,2024-10-07,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2021-11-16
"Classique BF1",inactive,"7-day click or 1-day view",5,actions:offsite_conversion.fb_pixel_purchase,676,6.036982,74.01,60,Daily,370.05,מתמשך,4081,90.676305,89,4.157865,2.180838,108,2.64641,3.426389,79,70,70,4,4,4,4,1.622754,1.622754,5,5,2021-11-17,2024-10-07,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2021-11-17
"Classique BF2",inactive,"7-day click or 1-day view",,,503,5.230616,,60,Daily,225.9,מתמשך,2631,85.860889,62,3.643548,2.356518,70,2.660585,3.227143,57,22,22,,,,,,,,,2021-11-17,2024-10-07,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2021-11-17
"Petite treeoflife BF",inactive,"7-day click or 1-day view",11,actions:offsite_conversion.fb_pixel_purchase,23064,1.687695,215.93727273,150,Daily,2375.31,מתמשך,38925,61.022736,186,12.770484,0.477842,1190,3.057161,1.996059,163,282,282,12,12,9,9,0.42554,0.42554,11,11,2021-11-18,2024-10-07,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2021-11-18
"Mini Holiday 1",inactive,"7-day click or 1-day view",4,actions:offsite_conversion.fb_pixel_purchase,2560,2.053125,38.9175,"Using campaign budget",0,155.67,מתמשך,5256,29.61758,72,2.162083,1.369863,110,2.092846,1.415182,63,63,63,,,,,,,4,4,2021-12-02,2024-10-07,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2021-12-02
"Mini Holiday 2",inactive,"7-day click or 1-day view",,,1438,2.432545,,"Using campaign budget",0,84.51,מתמשך,3498,24.15952,40,2.11275,1.143511,60,1.715266,1.4085,35,22,22,,,,,,,,,2021-12-02,2024-10-07,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2021-12-02
"Mini Holiday 3",inactive,"7-day click or 1-day view",2,actions:offsite_conversion.fb_pixel_purchase,2909,2.267102,105.585,"Using campaign budget",0,211.17,מתמשך,6595,32.019712,108,1.955278,1.637604,148,2.244124,1.426824,95,27,27,2,2,,,,,2,2,2021-12-02,2024-10-07,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2021-12-02
"Mini Holiday 4",inactive,"7-day click or 1-day view",1,actions:offsite_conversion.fb_pixel_purchase,1249,1.910328,60.91,"Using campaign budget",0,60.91,מתמשך,2386,25.52808,22,2.768636,0.922045,29,1.215423,2.100345,15,23,23,5,5,1,1,0.804466,0.804466,1,1,2021-12-02,2024-10-07,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2021-12-02
"Mini Holiday 2",inactive,"7-day click or 1-day view",1,actions:offsite_conversion.fb_pixel_purchase,944,3.804025,158.75,"Using campaign budget",0,158.75,מתמשך,3591,44.207742,36,4.409722,1.002506,52,1.448065,3.052885,30,38,38,,,1,1,0.749606,0.749606,1,1,2021-12-02,2024-10-07,CONVERSIONS,0,ABSOLUTE_OCPM,2021-09-07,2024-10-07,2021-12-02
