"Campaign name","Campaign Delivery","Attribution setting",Results,"Result indicator",Reach,Frequency,"Cost per results","Ad set budget","Ad set budget type","Amount spent (USD)",Ends,Impressions,"CPM (cost per 1,000 impressions) (USD)","Link clicks","CPC (cost per link click) (USD)","CTR (link click-through rate)","Clicks (all)","CTR (all)","CPC (all) (USD)","Landing page views","Content views","Website content views","Checkouts Initiated","Website checkouts initiated","Adds of payment info","Website adds of payment info","Purchase ROAS (return on ad spend)","Website purchase ROAS (return on ad spend)",Purchases,"Website purchases","Date created","Date last edited",Objective,"Reporting starts","Reporting ends",Starts
"UA Mini SALE US|UK aboutus",inactive,"7-day click or 1-day view",67,actions:offsite_conversion.fb_pixel_purchase,108575,1.476426,88.04940299,"Using ad set budget",0,5899.31,מתמשך,160303,36.800996,4640,1.271403,2.894519,7408,4.621249,0.796343,3604,2482,2482,70,70,46,46,0.817443,0.817443,67,67,2021-10-31,2021-12-19,CONVERSIONS,2021-09-01,2024-10-01,2021-11-01
"UA Petite BF US|UK treeoflife",inactive,"7-day click or 1-day view",7,actions:offsite_conversion.fb_pixel_purchase,7742,1.646603,88.47714286,"Using ad set budget",0,619.34,מתמשך,12748,48.583307,82,7.552927,0.643238,338,2.651396,1.832367,75,279,279,7,7,6,6,1.326412,1.326412,7,7,2021-11-10,2021-11-28,CONVERSIONS,2021-09-01,2024-10-01,2021-11-10
"RT Mini CBO BF",inactive,"7-day click or 1-day view",46,actions:offsite_conversion.fb_pixel_purchase,11886,4.185428,41.90173913,110,Daily,1927.48,מתמשך,49748,38.744874,1050,1.835695,2.110638,1364,2.741819,1.413109,1006,924,924,32,32,30,30,2.096618,2.096618,46,46,2021-11-12,2021-12-02,CONVERSIONS,2021-09-01,2024-10-01,2021-11-12
"UA Petite BF US|UK treeoflife DUP",inactive,"7-day click or 1-day view",,,343,1.271137,,"Using ad set budget",0,43.19,מתמשך,436,99.059633,3,14.396667,0.688073,5,1.146789,8.638,2,1,1,,,,,,,,,2021-11-16,2021-11-18,CONVERSIONS,2021-09-01,2024-10-01,2021-11-16
"RT-Buyers Classique BF",inactive,"7-day click or 1-day view",5,actions:offsite_conversion.fb_pixel_purchase,723,9.283541,119.19,"Using ad set budget",0,595.95,מתמשך,6712,88.788737,151,3.946689,2.249702,178,2.651967,3.348034,136,92,92,4,4,4,4,1.007635,1.007635,5,5,2021-11-17,2021-11-28,CONVERSIONS,2021-09-01,2024-10-01,2021-11-17
"UA Petite BF US|UK treeoflife DUP",inactive,"7-day click or 1-day view",11,actions:offsite_conversion.fb_pixel_purchase,23064,1.687695,215.93727273,"Using ad set budget",0,2375.31,מתמשך,38925,61.022736,186,12.770484,0.477842,1190,3.057161,1.996059,163,282,282,12,12,9,9,0.42554,0.42554,11,11,2021-11-18,2021-11-29,CONVERSIONS,2021-09-01,2024-10-01,2021-11-18
"RT Mini CBO Holiday",inactive,"7-day click or 1-day view",20,actions:offsite_conversion.fb_pixel_purchase,8247,5.104038,80.8115,100,Daily,1616.23,מתמשך,42093,38.396646,498,3.245442,1.183095,706,1.677239,2.289278,427,447,447,20,20,15,15,0.693992,0.693992,20,20,2021-12-02,2021-12-23,CONVERSIONS,2021-09-01,2024-10-01,2021-12-02
"UA Mini Holiday US|UK aboutus WEEKEND",inactive,"7-day click or 1-day view",13,actions:offsite_conversion.fb_pixel_purchase,33716,1.089275,99.64230769,"Using ad set budget",0,1295.35,2021-12-31,36726,35.270653,892,1.452186,2.428797,1529,4.163263,0.847188,754,352,352,13,13,8,8,0.415973,0.415973,13,13,2021-12-11,2021-12-23,CONVERSIONS,2021-09-01,2024-10-01,2021-12-11
"RT Mini CBO Holiday",inactive,"7-day click or 1-day view",11,actions:offsite_conversion.fb_pixel_purchase,4514,2.614533,34.05545455,50,Daily,374.61,מתמשך,11802,31.74123,215,1.742372,1.821725,298,2.524996,1.257081,179,130,130,15,15,10,10,1.953125,1.953125,11,11,2021-12-16,2021-12-23,CONVERSIONS,2021-09-01,2024-10-01,2021-12-16
"Tomb test 1 - Jwbsc",inactive,"7-day click or 1-day view",102,actions:post_engagement,1266,1.123223,0.09803922,"Using ad set budget",0,10,2021-12-20,1422,7.032349,,,,6,0.421941,1.666667,,,,,,,,,,,,2021-12-16,2021-12-21,Engagement,2021-09-01,2024-10-01,2021-12-16
