"Account name","Campaign name","Ad name",Region,Reach,Impressions,Frequency,Currency,"Amount spent (USD)","Attribution setting","Reporting starts","Reporting ends"
,,,,1528,2075,1.35798429,USD,80,,2023-01-01,2023-12-31
"Jean-Pierre Weill","ins vday sale 23","New Engagement Ad",California,307,396,1.28990228,USD,15.997999,"7-day click or 1-day view",2023-01-01,2023-12-31
"Jean-Pierre Weill","ins vday sale 23","New Engagement Ad","New York",173,236,1.36416185,USD,9.90495248,"7-day click or 1-day view",2023-01-01,2023-12-31
"Jean-Pierre Weill","ins vday sale 23","New Engagement Ad",Florida,112,159,1.41964286,USD,6.29314657,"7-day click or 1-day view",2023-01-01,2023-12-31
"Jean-Pierre Weill","ins vday sale 23","New Engagement Ad","New Jersey",68,100,1.47058824,USD,3.80190095,"7-day click or 1-day view",2023-01-01,2023-12-31
"Jean-Pierre Weill","ins vday sale 23","New Engagement Ad",Texas,81,106,1.30864198,USD,3.56178089,"7-day click or 1-day view",2023-01-01,2023-12-31
"Jean-Pierre Weill","ins vday sale 23","New Engagement Ad",Pennsylvania,48,67,1.39583333,USD,2.27113557,"7-day click or 1-day view",2023-01-01,2023-12-31
"Jean-Pierre Weill","ins vday sale 23","New Engagement Ad",Georgia,41,58,1.41463415,USD,2.08104052,"7-day click or 1-day view",2023-01-01,2023-12-31
"Jean-Pierre Weill","ins vday sale 23","New Engagement Ad",Ohio,43,56,1.30232558,USD,2.06103052,"7-day click or 1-day view",2023-01-01,2023-12-31
"Jean-Pierre Weill","ins vday sale 23","New Engagement Ad","North Carolina",39,63,1.61538462,USD,1.88094047,"7-day click or 1-day view",2023-01-01,2023-12-31
"Jean-Pierre Weill","ins vday sale 23","New Engagement Ad",Virginia,36,51,1.41666667,USD,1.71085543,"7-day click or 1-day view",2023-01-01,2023-12-31
"Jean-Pierre Weill","ins vday sale 23","New Engagement Ad",Massachusetts,36,44,1.22222222,USD,1.65082541,"7-day click or 1-day view",2023-01-01,2023-12-31
"Jean-Pierre Weill","ins vday sale 23","New Engagement Ad",Michigan,28,31,1.10714286,USD,1.65082541,"7-day click or 1-day view",2023-01-01,2023-12-31
"Jean-Pierre Weill","ins vday sale 23","New Engagement Ad",Connecticut,25,32,1.28,USD,1.62081041,"7-day click or 1-day view",2023-01-01,2023-12-31
"Jean-Pierre Weill","ins vday sale 23","New Engagement Ad",Nevada,29,33,1.13793103,USD,1.5807904,"7-day click or 1-day view",2023-01-01,2023-12-31
"Jean-Pierre Weill","ins vday sale 23","New Engagement Ad",Arizona,27,37,1.37037037,USD,1.52076038,"7-day click or 1-day view",2023-01-01,2023-12-31
