Campaign ID,Campaign Name,Campaign Status,Campaign Objective,Buying Type,Campaign Start Time,New Objective,Buy With Prime Type,Is Budget Scheduling Enabled For Campaign,Buy With Integration Partner,Ad Set ID,Ad Set Run Status,Ad Set Name,Ad Set Time Start,Ad Set Daily Budget,Destination Type,Use Dynamic Creative,Use Accelerated Delivery,Is Budget Scheduling Enabled For Ad Set,Link Object ID,Optimized Conversion Tracking Pixels,Optimized Event,Link,Product Set ID,Countries,Age Min,Age Max,Locales,Targeting Optimization,Targeting Relaxation,Publisher Platforms,Facebook Positions,Instagram Positions,Audience Network Positions,Device Platforms,Optimization Goal,Attribution Spec,Billing Event,Ad Set Bid Strategy,Ad ID,Ad Status,Preview Link,Ad Name,Title,Body,Conversion Tracking Pixels,Optimized Ad Creative,Creative Type,URL Tags,Instagram Account ID,Call to Action,Additional Custom Tracking Specs,Video Retargeting,Permalink,Format Option,Add End Card,Use Page as Actor
cg:23848236412050177,Facebook Women RE_MARKETING VALUE_CONVERSIONS,PAUSED,Conversions,AUCTION,06/09/2021 15:51:59,No,NONE,No,NONE,c:23848616245870177,PAUSED,1-time Customers - All,08/04/2021,1.1,UNDEFINED,No,No,No,o:124319427612935,tp:183235503589705,PURCHASE,https://www.jeanpierreweill.com/,p:1408539919529180,"US, GB",45,65,"English (UK), English (US)",,"custom_audience: Off, lookalike: Off","facebook, instagram, audience_network","feed, right_hand_column, marketplace, story","stream, story, explore","classic, rewarded_video","mobile, desktop",OFFSITE_CONVERSIONS,"[{""event_type"":""CLICK_THROUGH"",""window_days"":7},{""event_type"":""VIEW_THROUGH"",""window_days"":1}]",IMPRESSIONS,Highest volume or value,a:23848616246150177,PAUSED,https://www.facebook.com/?feed_demo_ad=23848616246150177&h=AQBC9Uf7CzwM5UPgrkE,1-time customers(Testimonial) - 1-time Customers carouselProducts,{{product.name}},"Martha S. â­â­â­â­â­
""My daughter loved this painting in her new house, so unique and eye-catching. This is definitely not my last purchase"" 
See for yourself now!",tp:183235503589705,No,Link Page Post Ad,utm_source=adscale_facebook&utm_campaign=adscale_{{campaign.id}}&utm_medium=Ads&utm_campaign_name=adscale_{{campaign.name}},x:922366607856109,SHOP_NOW,[],No,https://www.facebook.com/124319427612935/posts/pfbid0cw469o5Ryh6qvgbbdYGV8RYe5rVL4TrW7EgCfeggSa1HVi1xtgNQaG7rHhX3YrVHl/,carousel_slideshows,Yes,No
cg:23848236416450177,Facebook Women NEW_TRAFFIC VALUE_CONVERSIONS,PAUSED,Conversions,AUCTION,06/09/2021 15:52:15,No,NONE,No,NONE,c:23848616247930177,PAUSED,High AOV Customers - All,08/04/2021,1.1,UNDEFINED,No,No,No,o:124319427612935,tp:183235503589705,PURCHASE,https://www.jeanpierreweill.com/,p:750315278958869,"US, GB",45,65,"English (UK), English (US)",,"custom_audience: Off, lookalike: Off","facebook, instagram, audience_network","feed, right_hand_column, marketplace, story","stream, story, explore","classic, rewarded_video","mobile, desktop",OFFSITE_CONVERSIONS,"[{""event_type"":""CLICK_THROUGH"",""window_days"":7},{""event_type"":""VIEW_THROUGH"",""window_days"":1}]",IMPRESSIONS,Highest volume or value,a:23848616248310177,PAUSED,https://www.facebook.com/?feed_demo_ad=23848616248310177&h=AQBZ5sRd99TK4Yhnr2Q,1-time customers(Testimonial) - High AOV Customers Best Sellers carouselProducts,{{product.name}},"Martha S. â­â­â­â­â­
""My daughter loved this painting in her new house, so unique and eye-catching. This is definitely not my last purchase"" 
See for yourself now!",tp:183235503589705,No,Link Page Post Ad,utm_source=adscale_facebook&utm_campaign=adscale_{{campaign.id}}&utm_medium=Ads&utm_campaign_name=adscale_{{campaign.name}},x:922366607856109,SHOP_NOW,[],No,https://www.facebook.com/124319427612935/posts/pfbid0sPne6HSZrVvbrvyBpm7TZrR78JacEcsD7tTcLT4MVFHgUgwFGNKQ89DuKH6TDpDWl/,carousel_slideshows,Yes,No
cg:23848236416450177,Facebook Women NEW_TRAFFIC VALUE_CONVERSIONS,PAUSED,Conversions,AUCTION,06/09/2021 15:52:15,No,NONE,No,NONE,c:23848616247930177,PAUSED,High AOV Customers - All,08/04/2021,1.1,UNDEFINED,No,No,No,o:124319427612935,tp:183235503589705,PURCHASE,https://www.jeanpierreweill.com/,p:1410705615946843,"US, GB",45,65,"English (UK), English (US)",,"custom_audience: Off, lookalike: Off","facebook, instagram, audience_network","feed, right_hand_column, marketplace, story","stream, story, explore","classic, rewarded_video","mobile, desktop",OFFSITE_CONVERSIONS,"[{""event_type"":""CLICK_THROUGH"",""window_days"":7},{""event_type"":""VIEW_THROUGH"",""window_days"":1}]",IMPRESSIONS,Highest volume or value,a:23848616248640177,PAUSED,https://www.facebook.com/?feed_demo_ad=23848616248640177&h=AQDiYOgmfapbfcRDc2Q,1-time customers(Testimonial) - High AOV Customers High Revenue Products carouselProducts,{{product.name}},"Martha S. â­â­â­â­â­
""My daughter loved this painting in her new house, so unique and eye-catching. This is definitely not my last purchase"" 
See for yourself now!",tp:183235503589705,No,Link Page Post Ad,utm_source=adscale_facebook&utm_campaign=adscale_{{campaign.id}}&utm_medium=Ads&utm_campaign_name=adscale_{{campaign.name}},x:922366607856109,SHOP_NOW,[],No,https://www.facebook.com/124319427612935/posts/pfbid02YRbzFPLp2WUp4LPoi1mnMs1NFdsABeiWwo2pBc3wnGviZHGv3DFTfmupW29QSq12l/,carousel_slideshows,Yes,No
cg:23848236416450177,Facebook Women NEW_TRAFFIC VALUE_CONVERSIONS,PAUSED,Conversions,AUCTION,06/09/2021 15:52:15,No,NONE,No,NONE,c:23848616246310177,PAUSED,Segment - All - mini purchasers,08/04/2021,1.1,UNDEFINED,No,No,No,o:124319427612935,tp:183235503589705,PURCHASE,https://www.jeanpierreweill.com/,p:155473929937003,"US, GB",45,65,"English (UK), English (US)",,"custom_audience: Off, lookalike: Off","facebook, instagram, audience_network","feed, right_hand_column, marketplace, story","stream, story, explore","classic, rewarded_video","mobile, desktop",OFFSITE_CONVERSIONS,"[{""event_type"":""CLICK_THROUGH"",""window_days"":7},{""event_type"":""VIEW_THROUGH"",""window_days"":1}]",IMPRESSIONS,Highest volume or value,a:23848616246530177,PAUSED,https://www.facebook.com/?feed_demo_ad=23848616246530177&h=AQCy_PVm8kuQ7IF1UXw,1-time customers(Testimonial) - mini purchasers carouselProducts,{{product.name}},"Martha S. â­â­â­â­â­
""My daughter loved this painting in her new house, so unique and eye-catching. This is definitely not my last purchase"" 
See for yourself now!",tp:183235503589705,No,Link Page Post Ad,utm_source=adscale_facebook&utm_campaign=adscale_{{campaign.id}}&utm_medium=Ads&utm_campaign_name=adscale_{{campaign.name}},x:922366607856109,SHOP_NOW,[],No,https://www.facebook.com/124319427612935/posts/pfbid0TXDrL6Ywptz6mYXaER9bJShHeaAoR4R6vE55FXPhqjdUGgPKrDrSVG7Sj5LzYYK1l/,carousel_slideshows,Yes,No
cg:23848236416450177,Facebook Women NEW_TRAFFIC VALUE_CONVERSIONS,PAUSED,Conversions,AUCTION,06/09/2021 15:52:15,No,NONE,No,NONE,c:23848616246700177,PAUSED,Segment - All - petite buyers,08/04/2021,1.1,UNDEFINED,No,No,No,o:124319427612935,tp:183235503589705,PURCHASE,https://www.jeanpierreweill.com/,p:847788352791218,"US, GB",45,65,"English (UK), English (US)",,"custom_audience: Off, lookalike: Off","facebook, instagram, audience_network","feed, right_hand_column, marketplace, story","stream, story, explore","classic, rewarded_video","mobile, desktop",OFFSITE_CONVERSIONS,"[{""event_type"":""CLICK_THROUGH"",""window_days"":7},{""event_type"":""VIEW_THROUGH"",""window_days"":1}]",IMPRESSIONS,Highest volume or value,a:23848616247410177,PAUSED,https://www.facebook.com/?feed_demo_ad=23848616247410177&h=AQAOWtL4KfxuKBJFHfg,1-time customers(Testimonial) - petite buyers carouselProducts,{{product.name}},"Martha S. â­â­â­â­â­
""My daughter loved this painting in her new house, so unique and eye-catching. This is definitely not my last purchase"" 
See for yourself now!",tp:183235503589705,No,Link Page Post Ad,utm_source=adscale_facebook&utm_campaign=adscale_{{campaign.id}}&utm_medium=Ads&utm_campaign_name=adscale_{{campaign.name}},x:922366607856109,SHOP_NOW,[],No,https://www.facebook.com/124319427612935/posts/pfbid02zMkm3xwrJTDApDaQU1rhMYCv7GQ5xeuv1YD91ryTQYHKMzUXmRFdevPrLTHHznJgl/,carousel_slideshows,Yes,No
cg:23849302854210177,BP - TOF - Catalog - Acquistion - Cost Cap - Copy,PAUSED,Catalog Sales,AUCTION,10/26/2021 8:33:27 am,No,NONE,No,NONE,c:23849302854200177,ACTIVE,Auto - TOF - US + UK  #Stack - ON,10/26/2021 8:33:28 am,,UNDEFINED,No,No,No,o:124319427612935,,PURCHASE,https://www.jeanpierreweill.com/,p:333630574910555,"US, GB",25,65,,none,,"facebook, instagram, audience_network","feed, right_hand_column, marketplace, story","stream, story, explore",classic,"mobile, desktop",OFFSITE_CONVERSIONS,"[{""event_type"":""CLICK_THROUGH"",""window_days"":7},{""event_type"":""VIEW_THROUGH"",""window_days"":1}]",IMPRESSIONS,,a:23849302854170177,PAUSED,https://www.facebook.com/?feed_demo_ad=23849302854170177&h=AQDE07lT-SIwWN8REfc,car - 1,{{product.name}},"Check out 3D paintings on glass - a world of beauty, depth and wonder.
â¤
From our family studio to your home.
Shop Now>>",tp:183235503589705,No,Link Page Post Ad,utmsource=facebook{{site_source_name}}&utm_campaign={{campaign.name}}&utm_content={{ad.name}}&utm_placement={{placement}}&utm_adid={{ad.id}}&utm_campaignid={{campaign.id}}&utm_adsetid={{adset.id}}&utm_adsetname={{adset.name}},x:922366607856109,SHOP_NOW,"[{""action.type"":[""offsite_conversion""]}]",No,https://www.facebook.com/124319427612935/posts/pfbid02d9W8KgDaNrhLzjjGTdbeQBGHTZEj4TntAUQ6qK7L5EeowcjX39Pf4ULaekWV7J48l/,carousel_slideshows,Yes,No
cg:23849302854210177,BP - TOF - Catalog - Acquistion - Cost Cap - Copy,PAUSED,Catalog Sales,AUCTION,10/26/2021 8:33:27 am,No,NONE,No,NONE,c:23849302854290177,ACTIVE,Auto - TOF - US + UK  #Stack,10/26/2021 8:33:27 am,,UNDEFINED,No,No,No,o:124319427612935,,PURCHASE,https://www.jeanpierreweill.com/,p:333630574910555,"US, GB",25,65,,none,,"facebook, instagram, audience_network","feed, right_hand_column, marketplace, story","stream, story, explore",classic,"mobile, desktop",OFFSITE_CONVERSIONS,"[{""event_type"":""CLICK_THROUGH"",""window_days"":7},{""event_type"":""VIEW_THROUGH"",""window_days"":1}]",IMPRESSIONS,,a:23849302854190177,PAUSED,https://www.facebook.com/?feed_demo_ad=23849302854190177&h=AQDWqo9IkNNgWgn3f8s,car - 1,{{product.name}},"Check out 3D paintings on glass - a world of beauty, depth and wonder.
â¤
From our family studio to your home.
Shop Now>>",tp:183235503589705,No,Link Page Post Ad,utmsource=facebook{{site_source_name}}&utm_campaign={{campaign.name}}&utm_content={{ad.name}}&utm_placement={{placement}}&utm_adid={{ad.id}}&utm_campaignid={{campaign.id}}&utm_adsetid={{adset.id}}&utm_adsetname={{adset.name}},x:922366607856109,SHOP_NOW,"[{""action.type"":[""offsite_conversion""]}]",No,https://www.facebook.com/124319427612935/posts/pfbid02d9W8KgDaNrhLzjjGTdbeQBGHTZEj4TntAUQ6qK7L5EeowcjX39Pf4ULaekWV7J48l/,carousel_slideshows,Yes,No
cg:23849115788210177,BP - TOF - Catalog - Acquistion - Cost Cap,PAUSED,Catalog Sales,AUCTION,10/03/2021 07:07:54,No,NONE,No,NONE,c:23849115788270177,ACTIVE,Auto - TOF - US + UK  #Stack - ON,10/03/2021,,UNDEFINED,No,No,No,o:124319427612935,,PURCHASE,https://www.jeanpierreweill.com/,p:333630574910555,"US, GB",25,65,,none,,"facebook, instagram, audience_network","feed, right_hand_column, marketplace, story","stream, story, explore",classic,"mobile, desktop",OFFSITE_CONVERSIONS,"[{""event_type"":""CLICK_THROUGH"",""window_days"":7}]",IMPRESSIONS,,a:23849115788260177,PAUSED,https://www.facebook.com/?feed_demo_ad=23849115788260177&h=AQCyEMZuxJ9ab6draJ0,car - 1,{{product.name}},"Check out 3D paintings on glass - a world of beauty, depth and wonder.
â¤
From our family studio to your home.
Shop Now>>",tp:183235503589705,No,Link Page Post Ad,utmsource=facebook{{site_source_name}}&utm_campaign={{campaign.name}}&utm_content={{ad.name}}&utm_placement={{placement}}&utm_adid={{ad.id}}&utm_campaignid={{campaign.id}}&utm_adsetid={{adset.id}}&utm_adsetname={{adset.name}},x:922366607856109,SHOP_NOW,"[{""action.type"":[""offsite_conversion""]}]",No,https://www.facebook.com/124319427612935/posts/pfbid02d9W8KgDaNrhLzjjGTdbeQBGHTZEj4TntAUQ6qK7L5EeowcjX39Pf4ULaekWV7J48l/,carousel_slideshows,Yes,No
cg:23849115788210177,BP - TOF - Catalog - Acquistion - Cost Cap,PAUSED,Catalog Sales,AUCTION,10/03/2021 07:07:54,No,NONE,No,NONE,c:23849115788200177,PAUSED,Auto - TOF - UK US - BROAD,10/03/2021,,UNDEFINED,No,No,No,o:124319427612935,,PURCHASE,https://www.jeanpierreweill.com/,p:333630574910555,"US, GB",25,65,,none,,"facebook, instagram, audience_network","feed, right_hand_column, marketplace, story","stream, story, explore",classic,"mobile, desktop",OFFSITE_CONVERSIONS,"[{""event_type"":""CLICK_THROUGH"",""window_days"":7}]",IMPRESSIONS,,a:23849115788250177,ACTIVE,https://www.facebook.com/?feed_demo_ad=23849115788250177&h=AQAUzhJGSZB6OUNXoJI,car - 1,{{product.name}},"Check out 3D paintings on glass - a world of color, depth and meaning.
â¤From our family studio to your home.

From our family studio to your home.
Shop Now>>",tp:183235503589705,No,Link Page Post Ad,utmsource=facebook{{site_source_name}}&utm_campaign={{campaign.name}}&utm_content={{ad.name}}&utm_placement={{placement}}&utm_adid={{ad.id}}&utm_campaignid={{campaign.id}}&utm_adsetid={{adset.id}}&utm_adsetname={{adset.name}},x:922366607856109,SHOP_NOW,"[{""action.type"":[""offsite_conversion""]}]",No,https://www.facebook.com/124319427612935/posts/pfbid0CQGJySPbBBpiz1g1D9x4QeUHcc7XE1KiudZyFVuApPU5mm4EP2fV4T9N16R3QGJfl/,carousel_slideshows,Yes,No
cg:23848956459710177,BP - TOF - Catalog DPA - Acquistion,PAUSED,Catalog Sales,AUCTION,09/14/2021 8:57:36 am,No,NONE,No,NONE,c:23849114955480177,PAUSED,Auto - TOF - US + UK  #Stack - ON,10/03/2021,45.0,UNDEFINED,No,No,No,o:124319427612935,,PURCHASE,https://www.jeanpierreweill.com/,p:333630574910555,"US, GB",25,65,,expansion_all,,"facebook, instagram, audience_network","feed, right_hand_column, marketplace, story","stream, story, explore",classic,"mobile, desktop",OFFSITE_CONVERSIONS,"[{""event_type"":""CLICK_THROUGH"",""window_days"":7},{""event_type"":""VIEW_THROUGH"",""window_days"":1}]",IMPRESSIONS,Highest volume or value,a:23849114955490177,PAUSED,https://www.facebook.com/?feed_demo_ad=23849114955490177&h=AQB-5y31pLnF57jPSyA,car - 1,{{product.name}},"Check out 3D paintings on glass - a world of beauty, depth and wonder.
â¤
From our family studio to your home.
Shop Now>>",tp:183235503589705,No,Link Page Post Ad,utmsource=facebook{{site_source_name}}&utm_campaign={{campaign.name}}&utm_content={{ad.name}}&utm_placement={{placement}}&utm_adid={{ad.id}}&utm_campaignid={{campaign.id}}&utm_adsetid={{adset.id}}&utm_adsetname={{adset.name}},x:922366607856109,SHOP_NOW,"[{""action.type"":[""offsite_conversion""]}]",No,https://www.facebook.com/124319427612935/posts/pfbid02d9W8KgDaNrhLzjjGTdbeQBGHTZEj4TntAUQ6qK7L5EeowcjX39Pf4ULaekWV7J48l/,carousel_slideshows,Yes,No
