date,social_source,message,impressions,reach,saved,likes,comments,shares,plays,profile_visits
2024-11-05T14:48:18+0000,insta_post,"Election season may be tense, but art is here to bring a smile! 🎨  You don’t have to be an artist to paint through the stress, don’t be shy, grab a brush! 🖌️",,10523,87,883,29,30,11189,
2024-11-04T19:36:40+0000,insta_post,"Café des Fleurs 🌸 — one of our most adored pieces of the year, is on sale all November long!

Enjoy special discounts:
Gallery Edition 35% off
Petite 25% off
Mini Collection 10% off 

Shop now at jeanpierreweill.com. We ship internationally, so art lovers everywhere can enjoy this piece! 🌏",,85988,441,3603,94,184,85828,
2024-11-03T21:12:11+0000,insta_post,"🎉 November Art Sale Alert! 🎉

Snag your favorites from the Jean Pierre Weill collection at up to 35% off! Minis, Petites, and Gallery Editions – all discounted for a limited time. ✨

Mini: 10% off
Petite: 25% off
Gallery Editions: 35% off

📅 Sale runs Nov 1 - 30
🌍 International shipping available!

Shop the art you’ve been dreaming of at jeanpierreweill.com 💫",5172,5172,11,48,3,1,,99
2024-10-30T15:03:04+0000,insta_post,"Art lovers, the moment you’ve been waiting for is here! 🎨✨ From November 1st through the end of the month, explore Jean Pierre Weill’s collections with exclusive discounts:

✨ Mini Collection – 10% off
✨ Petite Collection – 25% off 
✨ Gallery Editions – 35% off 

Shop now at jeanpierreweill.com and bring a piece of art into your home – we ship worldwide, so wherever you are, beauty is just a click away! 🌍💫",,10784,9,212,7,3,11669,
2024-10-28T17:58:04+0000,insta_post,We take the rules very seriously around here! 😄,,11578,67,804,28,18,11968,
2024-10-22T21:06:52+0000,insta_post,"🎉 Jean Pierre Weill Giveaway: Win the Tree of Life Painting! 🎉

We are excited to announce our giveaway! One lucky winner will receive our stunning Tree of Life 3D painting, which holds the powerful message of seeking wisdom. 🌳✨ The words עץ חיים היא (“She is a Tree of Life”) are inscribed on the tree trunk, referencing Proverbs: “She [Wisdom] is a tree of life to those that embrace her, and blessed will be all who hold firmly to her.”

🎁 Prize Details:

✨10 x 8 in Tree of Life painting
✨Picture hanging hook
✨Beautiful gift box
✨Easel back

How to Enter:

1️⃣ Follow @jeanpierreweillpaintings on Instagram.
2️⃣ Comment below tagging three friend who would love this artwork!
3️⃣ Share this post in your Stories and tag us so we can see it!

📅 Giveaway Dates:

Starts: October 22
Ends: November 7 at midnight
Winner announced: Friday, November 8 at 10 AM EST

🌍 Open to all countries – we ship internationally!

Disclaimer: This giveaway is not sponsored, endorsed, or administered by Instagram.

Good luck! 💫",,22461,155,1190,351,231,25755,
2024-10-21T14:09:01+0000,insta_post,"Another pin on the map! 🌍✨

One of our 3D paintings has found its new home in beautiful Jamaica. 🇯🇲💫 Follow along to see where else our art ends up.

Shop at jeanpierreweill.com 🛒",,11362,8,214,10,3,12353,
2024-10-14T20:28:17+0000,insta_post,Artist at work 🎨➡️ Check out our 3D glass paintings at jeanpierreweill.com ✨,,15021,154,1352,22,59,15500,
2024-10-11T18:45:14+0000,insta_post,"✨ ‘The most beautiful thing we can experience is the mysterious.’ - Albert Einstein ✨ 

This portrait is a tribute to curiosity, truth, and the wonders of life. The perfect gift for your favorite science-loving friend or the curious explorer in your life! 🧠🔬 Send it to someone who sees the world through a lens of wonder. 

Visit our website jeanpierreweill.com to explore more!",,4664,9,181,5,1,4924,
2024-10-08T17:30:39+0000,insta_post,"Art takes time, but showing love is quick! 💫 Next time you catch an artist’s progress, don’t be shy—like, comment, and share to keep the creativity flowing. 🎨✨",,12350,128,1418,59,76,13221,
2024-10-03T12:31:03+0000,insta_post,We lied. It takes wayyyy more than 10 hours to paint this! 😅 How many hours do you think it really takes? Drop your guesses below! 👇,,14229,145,1268,38,96,14356,
2024-10-01T22:40:14+0000,insta_post,"✨ 4 stunning paintings, 2 frame styles—white and black. Which one speaks to you? 🖼️

Drop your vote in the comments and let us know your favorite framing style!",,17705,55,755,29,10,19197,
2024-09-30T23:24:15+0000,insta_post,"✨ We just finished this stunning piece!✨

Do you want to know more about the inspiration behind it? 

Drop your questions in the comments below, and stay tuned for an exclusive reel showcasing the creative process! 🎨💬",13328,12742,22,631,17,2,,135
2024-09-27T18:29:58+0000,insta_post,Just a typical Friday at our studio 🎨✨ How does your Friday look?,,10397,22,318,20,8,10989,
2024-09-25T17:34:35+0000,insta_post,"✨ May this year bring a sense of closeness and warm support, just like the feeling of this beautiful piece! 🎨 Bursting with sweetness and traditional symbolic blessings, it’s the perfect hug to send to your loved ones. 🍯💖 

Buy now at jeanpierreweill.com!",,7008,16,228,5,5,7690,
2024-09-24T18:03:45+0000,insta_post,100 problems? Watch them vanish with each brushstroke. 🎨✨,,14822,69,595,29,33,15840,
2024-09-19T18:26:26+0000,insta_post,"Can you help the cat find its perfect spot? 🐱✨ Tap and hold to move it around in Open Birdcage! 

Step into this cozy home where the cat lounges on the radiator and watch the birds flutter across the way. Our unique 3D technique brings new depth to this serene scene. 

Visit our website at jeanpierreweill.com for more and remember we ship internationally.",,16999,21,497,11,32,18923,
2024-09-17T17:28:00+0000,insta_post,Colors speak louder than words. 🎨✨,,16318,50,420,11,17,17820,
2024-09-16T23:12:33+0000,insta_post,"Jean Pierre Weill’s Ballerinas perfectly captures the grace and elegance of dance, and for a limited time, you can bring it home for 45% off—just $289! 🩰

✨ Whether you’re adding to your collection or gifting it to a fellow ballet lover, this piece will elevate any space. And yes, we ship internationally! 🌍 

Don’t miss out on this exclusive offer—visit our website at jeanpierreweill.com to get yours now.",,12773,109,1100,23,43,13815,
2024-09-12T20:52:40+0000,insta_post,"Episode 1: Welcome to the Studio 🎨✨ 

Stay tuned for more glimpses of our day to day! 🖌️💫",,9642,26,375,10,10,10739,
2024-09-11T19:09:46+0000,insta_post,"Nose to Nose is a standout in our collection, and there’s only one of these breathtaking paintings in the studio. 🐴 

Experience the thrill of the race with every vibrant splash of color and dynamic line. Feel the adrenaline as riders and horses push their limits, galloping nose-to-nose toward the finish line. 🏁🐎

Shop now at jeanpierreweill.com 🛒🌎",,33499,276,3088,79,151,36568,
2024-09-09T15:27:53+0000,insta_post,Who knew paintbrushes and glass could be this satisfying? 🎨🖌️,,10966,10,122,1,1,11598,
2024-09-05T19:28:52+0000,insta_post,"🌟 For a limited time, our Classique Collection by Jean Pierre Weill is available at a special price—save $241 USD!

Each framed painting, measuring 20 x 16 x 2 inches, is now just $289 USD (originally $530). Plus, you get free expedited shipping worldwide! 🖼️

Don’t miss out—this offer is automatically applied at checkout and ends September 30th.

Shop now at jeanpierreweill.com and let the magic happen. ✨",,15580,193,1457,37,71,17020,
