"Post ID","Page ID","Page name",Title,Description,"Duration (sec)","Publish time","Caption type",Permalink,"Is crosspost","Is share","Post type",Languages,"Custom labels","Funded content status","Data comment",Date,Impressions,Reach,"Reactions, Comments and Shares",Reactions,Comments,Shares,"Total clicks","Matched Audience Targeting Consumption (Photo Click)","Other Clicks","Link Clicks",REELS_PLAYS:COUNT,"Seconds viewed","Average Seconds viewed","Estimated earnings (USD)","Ad impressions","Negative feedback from users: Hide all"
885742943554745,100063571427253,"Jean-Pierre Weill - 3D painting on glass","Meet our littlest Picasso-in-training! 👧🖌️ Our adorable helper is busy bringing her own creativity to brighten up our family studio. ☀️",,0,"01/04/2024 10:01",N/A,https://www.facebook.com/jeanpierreweill/posts/pfbid0P5bUrmVVxdGjnTmTnwzDCVfQTiLZsuB7ooK7FRYyWDqU4TNxkQ1y2ApoXkuEFJsgl,0,0,Photos,,,,,Lifetime,1653,1601,44,40,3,1,87,62,25,,,,,,,
945797347549304,100063571427253,"Jean-Pierre Weill - 3D painting on glass","Did you know... 👀 

Our father, Jean-Pierre, ignited our beloved studio’s journey in 1992, fueled by a profound blend of artistry and family devotion. From the inception of our mesmerizing 3D paintings to our relocation to Israel about a decade ago, every stroke of light and shadow has been a testament to our shared passion.

As his daughters, Davida and Safira, we’ve infused our vibrant palette with fresh perspectives and boundless creativity, enriching our artistic legacy.

Our bond as a family studio isn’t just the foundation of our art—it’s the heartbeat that sustains it. ✨

Share this with your father, as a heartfelt reminder of the love and inspiration he brings to your life.  💖",,0,"03/27/2024 10:03",N/A,https://www.facebook.com/jeanpierreweill/posts/pfbid02Bc4taVEm3duQTvT18H56JzipUcBApw5cGed4oHWsghoARDZDWQLtTZwxMeRezomel,0,0,Photos,,,,,Lifetime,1778,1751,35,32,2,1,129,96,33,,,,,,,
941451157983923,100063571427253,"Jean-Pierre Weill - 3D painting on glass","For Adar >>> When you purchase artwork from our family studio this month, we will gift a 3D painting on glass to a family who has been evacuated from their home for free. 💝 

How does it work?
1. You purchase the artwork you love.
2. At checkout, write us a note that says: TRANSFORM. 
3. If you wish, add some words for the family who will receive our gift.
4. We will send you the work you purchased. We will also send a 3D painting on glass to a family who has been evacuated from their home. 

Let’s channel this months energy and transform lives together. ⚡️💗

Get started on www.jeanpierreweill.com",,0,"03/21/2024 13:03",N/A,https://www.facebook.com/jeanpierreweill/posts/pfbid0ri9L8iUNrdyf31fztBsPRyn6dbZawRHKkvmUmkMwJkANHFhKwwNAeW59wzxm3v4Ul,0,0,Photos,,,,,Lifetime,783,726,4,3,0,1,15,11,4,,,,,,,1
939720294823676,100063571427253,"Jean-Pierre Weill - 3D painting on glass","Visiting Jerusalem? Come experience the magic of art at our studio! ✨ 

Whether you’re an art enthusiast or just curious, we welcome you to immerse yourself in the world of color and paintings. 

Drop us a DM to arrange your visit! 🎨",,0,"03/19/2024 11:03",N/A,https://www.facebook.com/jeanpierreweill/posts/pfbid0s57VddP76vMYZWJz8PPu2n3EKh67sRHrx4oXJu6B9fyDTiRGFspNeohr6qEkvEu8l,0,0,Photos,,,,,Lifetime,2858,2704,103,83,7,13,297,227,70,,,,,,,
936759408453098,100063571427253,"Jean-Pierre Weill - 3D painting on glass","Watch the magic unfold as we assemble this  3D glass painting in a speedy manner! Want to see the final results? Drop a comment below! 🌟","Watch the magic unfold as we assemble this  3D glass painting in a speedy manner! Want to see the final results? Drop a comment below! 🌟",15,"03/15/2024 08:03",N/A,https://www.facebook.com/reel/430303983009534/,0,0,Reels,,,,,Lifetime,1366,1301,90,76,5,9,0,,,,1983,14853.869,12.056,0,0,
936091225186583,100063571427253,"Jean-Pierre Weill - 3D painting on glass","Last chance! 🚨 Don’t miss out on owning the piece ‘Where’s Pablo’ by Jean Pierre Weill. We’re down to our last 3 pieces and once they’re gone, they’re gone for good!

But fret not, we’re excited to introduce ‘Cafe Picasso’, the stunning successor to ‘Where’s Pablo’.

To celebrate the end of this edition, we’re offering an exclusive 50% off on ‘Where’s Pablo’ for our beloved SM followers! 🌟 This is your opportunity to bring home a masterpiece at an incredible price.

Hurry, grab your piece of art history before it’s too late! DM us to claim yours today. 🖼️✨",,0,"03/14/2024 09:03",N/A,https://www.facebook.com/jeanpierreweill/posts/pfbid0rXzFXsHLWyrQh1fYtmPhjHa5nKR9KSywNJvZUq7ioeRH4wLKvBLy1SGt1pFCnHz8l,0,0,Photos,,,,,Lifetime,1359,1312,24,20,0,4,46,33,13,,,,,,,
931414785654227,100063571427253,"Jean-Pierre Weill - 3D painting on glass","Step into the sacred space of community with ‘10th Man’ 🎨✨ Feel the power of unity as you become the missing piece in this captivating 3D painting by Jean Pierre Weill. Let your presence bring forth the divine, and immerse yourself in the beauty of collective prayer.",,0,"03/07/2024 13:03",N/A,https://www.facebook.com/jeanpierreweill/posts/pfbid0sZwih8dcCA7P3ssF1NscqLkeQL88AcTybhFQZYAJQ12NvoFTXW81Rhxzq2mghYShl,0,0,Photos,,,,,Lifetime,2069,2006,69,62,2,5,46,28,18,,,,,,,
929096605886045,100063571427253,"Jean-Pierre Weill - 3D painting on glass","Where are you tuning in from? Drop your flag in the comments and let’s connect through art! ✨","Where are you tuning in from? Drop your flag in the comments and let’s connect through art! ✨",30,"03/04/2024 08:03",N/A,https://www.facebook.com/reel/379243998223230/,0,0,Reels,,,,,Lifetime,2898,2843,346,235,80,31,0,,,,3313,27071.703,10.09,0,0,
929095455886160,100063571427253,"Jean-Pierre Weill - 3D painting on glass","Step into the rhythm of life with ‘Dancing on the Edge’! 🎻✨

Fiddler integrates color, dance and music within its multiple dimensions. 🎨 🎶

The word “לחיים” (To Life!) floats among musical notes to the Heavens. It’s an invitation to appreciate all of life (even the challenges) as an opportunity to dance. 🌟

Shipping’s on us, so visit jeanpierreweill.com to bring this piece into your home! 💃🕺","Step into the rhythm of life with ‘Dancing on the Edge’! 🎻✨

Fiddler integrates color, dance and music within its multiple dimensions. 🎨 🎶

The word “לחיים” (To Life!) floats among musical notes to the Heavens. It’s an invitation to appreciate all of life (even the challenges) as an opportunity to dance. 🌟

Shipping’s on us, so visit jeanpierreweill.com to bring this piece into your home! 💃🕺",28,"03/04/2024 08:03",N/A,https://www.facebook.com/reel/8157672074248294/,0,0,Reels,,,,,Lifetime,4004,3975,308,282,5,21,0,,,,4160,33789.764,9.37,0,0,
925734112888961,100063571427253,"Jean-Pierre Weill - 3D painting on glass","I have always loved music. In my studio, Miles Davis or John Coltrane are often playing in the background. The element of jazz that delights me most is the spontaneity, the way the musicians communicate with each other through their instruments, making space for one another, building an invisible and intricate web of connection.

I believe that when we choose a piece of artwork, it is because something beacons our eyes and hearts and, without thinking too much about it, we fall in love.

The beauty of improvisation, to me, is perfectly embodied by a street musician playing the music that comes to him and the passerby who is moved to spontaneous dance. This interaction captures the magic of responding to the present moment and the opportunities it offers with our hearts.

When my children were small and visiting my studio, we would sometimes crank up the volume, clear the tables to the side of the room, and dance. I continue this tradition with my grandchildren and it never fails to delight us all. My hope is that this painting brings that fun free energy into your home, and invites you to dance 🙂

- Jean Pierre Weill",,0,"02/28/2024 08:02",N/A,https://www.facebook.com/jeanpierreweill/posts/pfbid02DNPzq9nV65EahkYCNoMDLQNbsheCeWJeP8SbVFRRuF66S2wz9kBQqE95pyap2Evel,0,0,Photos,,,,,Lifetime,1980,1946,41,36,0,5,52,43,9,,,,,,,
