"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Impressions,Reach,Shares,Likes,Comments,Saves,Plays,Follows
17933752094094836,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","Inspired to create? You can do it ✨

#inspiredtocreate #jeanpierreweillpaintings #glasspainting #artstudio #artwork",24,"04/04/2022 08:04",https://www.instagram.com/reel/Cb7yC67DiSp/,"IG reel",,Lifetime,1410,1353,2,178,0,23,5309,
17965018549643880,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","This is Ron, Ron is an old customer of ours who purchased his very own Beatles painting 🎸. Despite the few years that have gone by, we are still in touch with Ron and are available for any of his needs ☎️. 

The relationship with our customers is our🔝priority. Satisfaction guaranteed no matter if ten years pass or two 🙏🏼. 

We’re here for you if you have any questions or concerns 🙋🏻. Our close relationship with our customers is very meaningful to our studio 💗✨.",0,"06/29/2022 13:06",https://www.instagram.com/p/CfZwTYtPP1U/,"IG image",,Lifetime,543,512,0,32,0,1,,
17856200396747172,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","After a few hours of painting 🤦🏻‍♀️.

#artist #painter #artwork #jeanpierreweill",6,"06/28/2022 10:06",https://www.instagram.com/reel/CfW6yj3Du9b/,"IG reel",,Lifetime,2643,2587,2,238,2,12,9919,6
18051886192331372,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","A dove holding an olive branch tightly in its beak flutters here in 3 dimensions 🕊.

Text from the Biblical story of Noah fills the body of the white bird and transforms this painting into a promise for a better future ✨.

📸: @caitlynnwestt 

#noah #dove #biblicalart #olivebranch #promise #future #3dart",0,"06/27/2022 09:06",https://www.instagram.com/p/CfUORrWLsfa/,"IG carousel",,Lifetime,439,407,0,35,4,9,,
17946787442070219,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","Want to win one of these?! 

Check our last post for more details ✨👉🏻. 

#giveaway #paintings #3dart",12,"06/23/2022 09:06",https://www.instagram.com/reel/CfJ5M9CDcxK/,"IG reel",,Lifetime,2288,2225,1,82,4,11,3001,
17968765498649118,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","It’s giveaway time ⏰!

Our artwork is now live on Amazon and we would love to give back to our followers! We’re going to choose one lucky winner to win any of our Petite paintings in the size of a🥁….. 

✨ Classique ✨
Available *exclusively* on Amazon!

In order to enter to win this large 20"" x 16"" 3D painting: 

1. You need to be following us, of course ;)
2. Like this photo ♥️
3. Tag three friends below 👇🏻 

BONUS ENTRY: repost this on your story 💫

Good Luck 🤞🏼!

With love, the JPW team ☺️.
Not endorsed by Instagram* 
ends 07/28",0,"06/22/2022 12:06",https://www.instagram.com/p/CfHrHuGPWqm/,"IG image",,Lifetime,5009,4607,0,89,72,14,,
17973531103592805,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","This piece of art represents how our senses guide us through different life experiences 💫. 

Forest Avenue is a window into the world, where  from various angles, new discoveries await 🌎. 

#artstudio #artwork #jeanpierreweill #newdiscoveries",15,"06/17/2022 06:06",https://www.instagram.com/reel/Ce6H9ZvD6vt/,"IG reel",,Lifetime,2185,2063,7,85,0,19,3257,4
17937940115281221,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","Reminder that now you can buy our art pieces on Amazon! 

It comes in three different sizes: mini, petite and classique 🤩. 

#jeanpierreweill #glasspainting #artwork #artstudio #amazon",21,"06/14/2022 08:06",https://www.instagram.com/reel/CeypvO4jXoW/,"IG reel",,Lifetime,2402,2252,4,64,5,3,3123,4
18302811868041105,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","John Lennon, Paul McCartney, George Harrison, and Ringo Starr were more than a rock band; they represented the 1960s counterculture 🎧. 

This painting is a tribute to their artistry, their way of breaking through the limitations of their time to come up with something unique and original 🎸.

📸: @3days_sendai 

#painting #3dart #beattles",0,"06/13/2022 10:06",https://www.instagram.com/p/CewPcL8rEBT/,"IG carousel",,Lifetime,402,384,0,23,2,0,,
17941993364098026,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","The sounds of water are soothing to the soul 🛶.

Venice is permeated by the ambiance created by flowing water 🌊.

As the figures in this scene slide along the canal, their hearts are at peace ☂️.

#jeanpierreweill #3dart #venice #love #italy #canal",0,"06/08/2022 09:06",https://www.instagram.com/p/CejN7tbr3I_/,"IG image",,Lifetime,1965,1723,1,339,4,9,,2
17951494555807513,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","Can you send Safira a hug? 🤗

#jeanpierreweillart #artwork #artstudio #glasspainting",8,"06/07/2022 12:06",https://www.instagram.com/reel/Ceg9qOxDPwJ/,"IG reel",,Lifetime,2306,2190,1,324,8,16,12266,3
17923602104277234,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","We love to receive positive feedback from art lovers around the globe - every bit contributes to our creative process 🙏🏼👩🏻‍🎨.

Message us with any of your suggestions 😊✨. 

#artwork #artstudio #jeanpierreweillart #artfamily #glasspainting",0,"06/06/2022 07:06",https://www.instagram.com/p/Ced8FPyL2eP/,"IG image",,Lifetime,388,373,1,31,1,5,,
17968265872627384,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","Too much money! That’s the real answer 🫣😅.

#artwork #artstudio #jeanpierreweillart #artsupplies",10,"06/02/2022 08:06",https://www.instagram.com/reel/CeTwossD9vC/,"IG reel",,Lifetime,2163,2093,1,116,1,13,3664,5
17846441513783926,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","Some behind the scenes of our studio ✨. 

#artstudio #art #paintings #packages",0,"05/31/2022 10:05",https://www.instagram.com/p/CeOzeTLLShP/,"IG image",,Lifetime,295,273,1,34,0,4,,
17979417109543764,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","In art you must always trust the process 😌 🎨 .

#art #process #paint #artist #bts #jeanpierreweillart",8,"05/30/2022 13:05",https://www.instagram.com/reel/CeMi2ZxjnvF/,"IG reel",,Lifetime,2023,1953,0,147,0,10,10064,
17999089645445943,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","""Wings"" is a unique piece of art, depicting how our mind holds the key to discovery, and books help us take flight ✈️ 🔐. 

What better way to set the mood of your space than with art that has meaning 🖼. 

Swipe to see more details of this 3d painting ✨.

#jeanpierreweill #decor #artwork #painting #glasspainting #books #discovery #imagination",0,"05/25/2022 08:05",https://www.instagram.com/p/Cd_FJx2rQIW/,"IG carousel",,Lifetime,256,241,0,46,2,3,,
17952385090890614,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","The magic of art ✨

#jeanpierreweillart #glasspainting #artwork #venice #3dart",7,"05/24/2022 09:05",https://www.instagram.com/reel/Cd8o8kiDW-f/,"IG reel",,Lifetime,2008,1900,0,371,8,19,6535,1
18037515232350488,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","Our collection in our art studio is growing and we couldn’t be more proud of ourselves and our team 🙌🏻☺️. 

#artstudio #art #studio #artists #painting #3dart #paint #israeliart",5,"05/23/2022 14:05",https://www.instagram.com/reel/Cd6kIPRjQsK/,"IG reel",,Lifetime,2339,2252,5,91,1,6,3173,2
18006110986418834,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","The colors that bring our paintings to life 🎨 🖌. 

#painting #paint #color #blackandwhite #3dart #judaicaart #jeanpierreweillart",7,"05/18/2022 10:05",https://www.instagram.com/reel/CdtRFrmDOJB/,"IG reel",,Lifetime,1951,1872,2,185,2,13,5492,
18297064705029514,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","Here’s a cute story, about a cute cat, who received a cute painting 🐈‍⬛ 🖼. 

🎥: @ms.nellsbells 

#cat #painting #3dart #gift #catmom #pigeons",34,"05/17/2022 13:05",https://www.instagram.com/reel/CdrEjLsDjgf/,"IG reel",,Lifetime,2559,2392,6,354,2,32,8794,1
