"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Impressions,Reach,Shares,Follows,Plays,Likes,Comments,Saves
18186675952195599,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","Meet The Family { Part 2 } :
A series 

Continuing the tour of our intimate family studio where you can see the different people who make our art work possible :)

Next up Safira:

Safira has been working with us for 6 whole years! She’s our incredible art director who helps come up with the creative visuals that touch your hearts. She has so much passion for her job because it allows her to bring love and connection to all of the customers 🥰. Her favorite part of her job is the personal messages we receive about how the art impacts people’s lives. But her ultimate favorite thing to do is to eat pasta and drink red wine while watching The Lion King 🦁.

Thank you Safira for bringing such great ideas and creativity to the table! 🎨",0,"01/05/2022 08:01",https://www.instagram.com/p/CYWxYsjJczs/,"IG image",,Lifetime,132,123,0,,,12,0,1
17855573126682670,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","Guess who!

#artwork #einstein #glassart #3dart #artwork #jeanpierreweillart #madeinisrael",14,"01/06/2022 11:01",https://www.instagram.com/reel/CYZpahCFWeU/,"IG reel",,Lifetime,1078,1014,2,,6131,182,1,21
17949406342652830,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","Wouldn’t this fit perfectly in your nursery? 🎈 

#artprocess #artwork #beforeandafter #jeanpierreweillart #artofinstagram #bearart #nurseryart",9,"01/10/2022 11:01",https://www.instagram.com/reel/CYj4sqCljqB/,"IG reel",,Lifetime,969,912,4,2,5161,117,1,39
18148029976234023,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","Just a casual day perched up amongst the paintings 🎨.

#artist #studio #jeanpierreweillart #israel #judaicart",0,"01/11/2022 08:01",https://www.instagram.com/p/CYmNAyou8oW/,"IG image",,Lifetime,115,112,0,,,31,0,0
17965332124525637,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","Spontaneous dance parties at our studio are always welcome 🤗

#contemporarydance #artstudio #jeanpierreweillart #judaicaart #israel #art",11,"01/13/2022 15:01",https://www.instagram.com/tv/CYsBGgcF0AC/,IGTV,,Lifetime,944,898,0,,,41,4,1
18273831247000266,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","Who knew painting could be that easy 🪄

#ticktickboom #magic #art #artist #painting #jeanpierreweillart",7,"01/17/2022 12:01",https://www.instagram.com/reel/CY2GeKXFcQC/,"IG reel",,Lifetime,2702,2538,6,25,7837,252,0,51
17897628671407447,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","Here’s a short snippet how our studio came into creation 🖌. 

#jeanpierreweillart #ourstory #behindthebusiness #artstudio #family #3dpainting",0,"01/19/2022 13:01",https://www.instagram.com/p/CY7VzUIPf_Z/,"IG image",,Lifetime,201,194,1,,,57,5,2
17975758288470066,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","We have a launched a 
N E W  P E T I T E 🦒! 

Giraffes have the largest hearts of all land animals ✨.

So much is uncertain in our lives these days. 

Although we may feel that we are perched on a rather precarious branch, when we reach out to share with others, something magical happens 🌳.

The world becomes a more beautiful place. 

 This child feels at home in the world and chooses a simple act of kindness that warms the heart 💕.

This piece is an invitation to connect.

And it is now on sale for 20% off‼️",0,"01/21/2022 07:01",https://www.instagram.com/p/CY_2jE6Ozvk/,"IG image",,Lifetime,4039,3764,0,,,38,0,8
17905491767456059,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","Which frame color is your favorite for the minis? Black, white or wood?? 

Let us know in the comments below! 💬

#jeanpierreweillart #minicollection #artistsoninstagram #artgram #artist #madeinisrael",11,"01/24/2022 11:01",https://www.instagram.com/reel/CZH9GaRFonN/,"IG reel",,Lifetime,992,958,0,1,2359,52,5,3
18201075997120597,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","Root deeply, grow high. This tree is a symbol of strength rooted in wisdom and growth that finds colorful expression in all directions. 

What does this tree mean to you? 

20x16x2 
Shipping available worldwide!",6,"01/25/2022 07:01",https://www.instagram.com/reel/CZKGGxhF5ig/,"IG reel",,Lifetime,1325,1264,3,2,2088,71,4,14
18037150009320706,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","Valentine’s Day is coming right up! 

Check out today’s story or Valentine’s highlight on our page for some gift ideas you can surprise your loved one with! 💖 

#valentinesgift #bemyvalentine",0,"01/26/2022 13:01",https://www.instagram.com/p/CZNWkLqO4Y5/,"IG image",,Lifetime,174,166,0,,,16,0,0
18283808938061988,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","All the essentials ✨ 

#artstudio #familybusiness #jewish #art #glasspainting #3dart #jewishart",16,"02/01/2022 07:02",https://www.instagram.com/reel/CZcLNjZFrPL/,"IG reel",,Lifetime,1166,1105,0,,6183,193,6,10
17916721934126271,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","Which painting is your favorite? 

Stay Tuned for a Sale coming soon! 

#art #3dart #3dpainting #jeanpierreweillart #madeinisrael #artist #artstudio",34,"02/02/2022 09:02",https://www.instagram.com/reel/CZe44FrA0Cj/,"IG reel",,Lifetime,1035,992,0,2,1482,47,0,9
18020654569332755,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","Get 22% off with the code LOVE22 applied at checkout 💌.

Which painting will you be getting your Valentine this year? 

Check our story highlight for ideas! 

#valentinessale #LOVE22 #jeanpierreweillart #artsale",0,"02/03/2022 06:02",https://www.instagram.com/p/CZhPR1YuoGY/,"IG image",,Lifetime,2360,2110,0,,,12,0,0
17879480138570357,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","The best gift for anyone you love. 💕Use our bio link website to shop now! Hurry so that it arrives on time. 

#valentines #valentinesdaysale #gifting #bemine #giftideas #artofinstagram #artist",10,"02/07/2022 13:02",https://www.instagram.com/reel/CZsR8SZDLxF/,"IG reel",,Lifetime,1050,982,1,,1645,33,0,2
18029457151338325,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","Meet the family {Part 3} : 
A series 

Introducing another one of our art studio members so you can become more familiar with all the people who help create our complex, yet beautiful, art work 🙌🏻.

Next Up: Sarah

Sarah’s has been working with us for only 5 months and what an asset she has been ✨. We don’t know how we did it without her keeping us grounded 💪🏼. Even tho spicy is her favorite food, Sarah is always the sweetest and giving us the best Ted Talk summaries. 

Thank You Sarah for helping our work flow go as smoothly as possible 😇.",0,"02/08/2022 12:02",https://www.instagram.com/p/CZuq8sZP3Zt/,"IG image",,Lifetime,113,106,0,,,20,0,1
18187577905084287,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","A gift for a lover 💃 🕺 

Last chance to order it for Valentine’s Day! Use code LOVE22 at checkout for 22% OFF. 

#artwork #romance #artofinstagram #3dpainting #moonlightdancing #jeanpierreweillart",13,"02/11/2022 06:02",https://www.instagram.com/reel/CZ11GiXj_-D/,"IG reel",,Lifetime,1112,1063,0,2,3484,56,0,6
17983267933432434,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","Creativity is kinda messy sometimes, and it’s totally fine 👩‍🎨🎨

#art #artist #artwork #jeanpierreweill #messyart #glasspainting",14,"02/14/2022 10:02",https://www.instagram.com/reel/CZ946DBDlT1/,"IG reel",,Lifetime,1297,1225,2,,5130,166,2,8
18007419355388371,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","Let’s connect! We’re a family run art studio located in Jerusalem. Who are you? Introduce yourself! 🗯

#artstudio #jeanpierreweillart #artreels #artlovers #3dart #glassart #artists #madeinisrael",6,"02/16/2022 08:02",https://www.instagram.com/reel/CaC3f7KjGR5/,"IG reel",,Lifetime,1151,1103,0,1,1978,63,9,3
18002444995399777,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","We LOVE when we get to see our artwork displayed in your home. ❤️

Have a piece you’re proud of? Show us, tag us. #jeanpierreweillart",0,"02/17/2022 09:02",https://www.instagram.com/p/CaFiOJIriaa/,"IG image",,Lifetime,910,847,0,,,233,1,3
