"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Impressions,Reach,Shares,Likes,Comments,Saves,Follows,Plays
17966931236675625,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","You asked us for slower and more details. Here you go! Step into the sacred circle of the 10th man. 🖼️🎨

Here’s the twist – spot your reflection and become the one to complete the quorum!✨",37,"01/02/2024 09:01",https://www.instagram.com/reel/C1m2OMirq9m/,"IG reel",,Lifetime,64813,58394,446,3360,89,550,273,79123
17931031811833027,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","We just put up our new studio sign at Jean Pierre Weill Studios in Israel. Come visit! 🎨✨",16,"03/29/2024 07:03",https://www.instagram.com/reel/C5GgZkMLCwy/,"IG reel",,Lifetime,24752,23360,9,426,14,17,48,33458
18258206485172238,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","What should we name our latest masterpiece? 🖼️ Drop your suggestions below! 👩‍🎨✨🤎",25,"03/28/2024 12:03",https://www.instagram.com/reel/C5EcQuzPR2N/,"IG reel",,Lifetime,22843,20398,46,649,10,159,67,31437
17994538598554267,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","Did you know... 👀 

Our father, Jean-Pierre, ignited our beloved studio’s journey in 1992, fueled by a profound blend of artistry and family devotion. From the inception of our mesmerizing 3D paintings to our relocation to Israel about a decade ago, every stroke of light and shadow has been a testament to our shared passion.

As his daughters, Davida and Safira, we’ve infused our vibrant palette with fresh perspectives and boundless creativity, enriching our artistic legacy.

Our bond as a family studio isn’t just the foundation of our art—it’s the heartbeat that sustains it. ✨

Share this with your father, as a heartfelt reminder of the love and inspiration he brings to your life. 💖",0,"03/27/2024 10:03",https://www.instagram.com/p/C5BtQIZL1ie/,"IG carousel",,Lifetime,12731,10434,4,384,4,14,1,
18020028319963767,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","Let’s create magic together! 🎨 
Comment anything on this reel and we will showcase our favorite art posts from fellow artists on our stories. 

Join us in celebrating creativity and building connections in the art world! 🌟",7,"03/26/2024 13:03",https://www.instagram.com/reel/C4_ZC-xvGk8/,"IG reel",,Lifetime,22370,20270,15,471,139,19,44,33196
18019046534151214,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","For Adar >>> When you purchase artwork from our family studio this month, we will gift a 3D painting on glass to a family who has been evacuated from their home for free. 💝 

How does it work?
1. You purchase the artwork you love.
2. At checkout, write us a note that says: TRANSFORM. 
3. If you wish, add some words for the family who will receive our gift.
4. We will send you the work you purchased. We will also send a 3D painting on glass to a family who has been evacuated from their home. 

Let’s channel this months energy and transform lives together. ⚡️💗

Get started on www.jeanpierreweill.com",0,"03/21/2024 13:03",https://www.instagram.com/p/C4yluozvt17/,"IG carousel",,Lifetime,8356,7115,1,101,2,9,,
18014479034272704,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","Behind the scenes at the art studio: 🎨🔍
We ensure every Gallery Edition order is crafted with care and quality. From meticulous packaging to extra safety measures, your masterpiece is in good hands! ✨🖼️",11,"03/20/2024 11:03",https://www.instagram.com/reel/C4vxVggrB1g/,"IG reel",,Lifetime,34508,31499,25,398,10,84,22,46569
18034780063865250,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","Visiting Jerusalem? Come experience the magic of art at our studio! ✨ 

Whether you’re an art enthusiast or just curious, we welcome you to immerse yourself in the world of color and paintings. 

Drop us a DM to arrange your visit! 🎨",0,"03/19/2024 11:03",https://www.instagram.com/p/C4tJ8bbLGcd/,"IG carousel",,Lifetime,28941,25167,34,1547,30,183,7,
17906898710930920,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","Monday motivation for all our fellow artists: Don’t let anything hold you back from creating. Embrace the inspiration, ignore the doubts, and just make things happen! 💪🖌️",5,"03/18/2024 12:03",https://www.instagram.com/reel/C4qvNVxPv3a/,"IG reel",,Lifetime,20065,18569,25,480,5,68,32,34555
17992020440613229,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","Life’s too short for anything less than passion. 🎨 

Happy Friday ☀️💕",7,"03/15/2024 07:03",https://www.instagram.com/reel/C4ifcLurqJ4/,"IG reel",,Lifetime,44973,43865,121,2055,25,247,64,74839
