"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Impressions,Reach,Shares,Likes,Comments,Saves,Follows,Plays
17863515398741850,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","✨FLASH SALE ✨

There’s nothing quite like spending time with loved ones on the beach on a hot summer day! ☀️ 🌊 

The Summer Friends painting is the perfect piece of art to remember these good times. ☺️

Take 25% OFF the Classique sized Summer Friends painting with coupon code july4th. 🏷 

Offer ends tomorrow at midnight. Happy Independence Day! 🇺🇸",0,"07/03/2022 08:07",https://www.instagram.com/jeanpierreweillpaintings/p/CfjfpQ3rR9M/,"IG image",,Lifetime,2383,2240,0,25,1,1,,
17950366334125663,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","✨NEW PETITE✨
 
DISCOUNT CODE 👇🏽👇🏽

The serenity of simply being. 
Bring the quote lapping of this lake into your home and remember that life is in this moment. 

This scene was inspired by Lake Como, in northern Italy. 

Available on our website 😍

✨Get 20% off this painting if you buy the first week✨

🔥🔥🔥Use discount code: italianpastel
(Expires September 17th)

#newpainting #italy #romance #pastel #earlybird #newart #3dpainting",14,"09/08/2022 06:09",https://www.instagram.com/jeanpierreweillpaintings/reel/CiPyeFFDWv6/,"IG reel",,Lifetime,2958,2788,5,129,0,29,5,3681
18177112981211206,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","Pssst.... We have so many cool events happening this summer at the studio! DM us to join or learn more. 👀 

#jeanpierreweillart #glasspainting #artwork #artstudio",0,"07/27/2022 06:07",https://www.instagram.com/jeanpierreweillpaintings/p/CghIbKWr9X5/,"IG image",,Lifetime,389,378,0,31,1,2,,
17975586085573855,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","For those music lovers and fans of Jerry Garcia, this painting is the perfect gift 🎁.

Jerry was the leader of the Grateful Dead. His love of improvisation flowed from his love of spontaneity 🫂. 

May we all be blessed with the ability to make music, whatever our music may be 🎼. 

#glasspainting #jeanpierreweill #artwork #artstudio #jerrygarcia",0,"07/26/2022 10:07",https://www.instagram.com/jeanpierreweillpaintings/p/CgfBePdLEgC/,"IG image",,Lifetime,612,575,0,24,0,0,,
17960272009876374,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","“Soul Train” 

We, as humans, are connected on a deep and simple level. 

This painting shows how different individuals come together from different worlds and converge in the same space with harmony ✨ .

These elements together create a world in which time is meaningless, love is in the air, and each person maintains its essence and life-story on a shared and awesome journey into the future 🫂 .

Which character in the Soul Train painting is your favorite??",18,"07/25/2022 09:07",https://www.instagram.com/jeanpierreweillpaintings/reel/CgcTI7Kj61q/,"IG reel",,Lifetime,4345,4112,21,217,3,29,9,4938
18145335625269948,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","The creative process starts with persistence and the desire to create. ✨🖌

Can we give it up for artist Safira? 👏🏼 🎨

#jeanpierreweill #glasspainting #artwork #artstudio",8,"07/20/2022 08:07",https://www.instagram.com/jeanpierreweillpaintings/reel/CgPUy5Qjbd7/,"IG reel",,Lifetime,2979,2888,6,241,0,27,9,6840
18151956589300524,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","A combination of hand-painting and print brings our paintings to life. There are three dimensions to each piece of artwork that create a play of light and shadow. But... it all starts with this. 🎨

#jeanpierreweill #glasspainting #artwork #artstudio",0,"07/19/2022 07:07",https://www.instagram.com/jeanpierreweillpaintings/p/CgMl1CqLrAt/,"IG image",,Lifetime,424,408,0,15,0,1,,
17947399306954662,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","The magic of creation, made possibly with our trusty tools 🖌.

#glasspainting #artstudio #artwork #jeanpierreweill",9,"07/18/2022 13:07",https://www.instagram.com/jeanpierreweillpaintings/reel/CgKtoeGDvgt/,"IG reel",,Lifetime,2931,2843,1,117,0,7,7,5321
17938363655082402,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","We had an awesome workshop at our studio where we took things like wood, bark and acorns to create little people 🪵. 

Slide to see what the JPW employees came up with 👉🏻.

From time to time, we love taking a break from painting to do something else that’s creative and help the work flow 💃🏼.

Check out our story for more details 🤗.",0,"07/13/2022 15:07",https://www.instagram.com/jeanpierreweillpaintings/p/Cf-EXMVLjfQ/,"IG carousel",,Lifetime,442,429,0,32,0,1,,
17980509607523106,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","Venice, the most beautiful city in the world, is permeated by the ambiance of gently rippling water ⛵️.

As the figures in this scene go about their business, slide along the canal in a gondola 🛶, or dance 💃🏼, the sounds of water helps keep their hearts calm and relaxed 🧘🏻‍♀️. 

As if they feel loved by the city itself ☺️. 

#venice #veniceinlove #glasspainting #artwork #artstudio #jeanpierreweill",16,"07/12/2022 09:07",https://www.instagram.com/jeanpierreweillpaintings/reel/Cf6w4SiDDA-/,"IG reel",,Lifetime,2825,2696,5,226,4,26,3,6288
17955992740801568,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","“A moment’s rest” makes a lovely wedding or anniversary gift. 🎁 

It shows a couple as they pause during an afternoon stroll to look over the water at a ferry and the colorful city beyond. They lean towards one another, needing no more than the silent assurance of loving company.

#glasspainting #jeanpierreweill #artstudio #artwork",19,"07/11/2022 10:07",https://www.instagram.com/jeanpierreweillpaintings/reel/Cf4YgfkDG8f/,"IG reel",,Lifetime,3130,3010,11,173,0,22,5,5945
18303659080011262,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","It's not easy, but we love creating for you! 

#glasspainting #jeanpierreweill #magic #create",11,"07/05/2022 10:07",https://www.instagram.com/jeanpierreweillpaintings/reel/Cfo2ntxFEbo/,"IG reel",,Lifetime,2540,2447,1,230,4,12,,8135
17925100958421767,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","Don't miss this opportunity to get our wonderful art piece ""Summer Friends” by using the code july4th at checkout! 

You have until tonight at midnight. 

#discount #jeanpierreweill #summer #friends #glasspainting",11,"07/04/2022 15:07",https://www.instagram.com/jeanpierreweillpaintings/reel/Cfm4PKPjkbh/,"IG reel",,Lifetime,2571,2484,0,52,1,4,,3214
