"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Impressions,Reach,Shares,Likes,Comments,Saves,Follows,Plays
17934073651693193,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","🌟A  N E W  P E T I T E 🌟

Rachel's Tomb 

Tradition says she was buried by the road so that she could comfort her children as they were sent into exile. 
She is the motherly voice that prays for a softening when life is harsh. In her softness is her power. 

Her tomb is a holy site of prayer for Jews, Christisns and Muslims. 

#newpainting #transformingartintolove #finearts #lifestyle #interiordesign #culture #artist #decrotivearts #3Dart #uniqueart #glass #painting #artoftheday #gift #artist #instaart #israeliart #familystudio #artlover #artistlife #createeveryday #homedecor #acrylics #specialgift #customizedgift #familyart #studio #popularculture #newproducts #religiousart",0,"10/20/2021 00:10",https://www.instagram.com/jeanpierreweillpaintings/p/CVPf8roI9yR/,"IG image",,Lifetime,2668,2144,0,210,5,10,,
17915431175092950,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","One stroke at a time 🎨 👀",9,"12/30/2021 09:12",https://www.instagram.com/jeanpierreweillpaintings/reel/CYHXLr1lXSF/,"IG reel",,Lifetime,968,928,2,124,5,12,,2414
17934032956896946,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","This is our Petite Grand Kotel. Four layers of mixed media print and hand painting. 

DM us for 35% off in the month of January. If you can't be in Israel, bring a piece of Israel into your home 🇮🇱. Free shipping for all.

#koteł #israel #painting #layeredart #artwork #framed #handpainted",8,"12/28/2021 12:12",https://www.instagram.com/jeanpierreweillpaintings/reel/CYCknszF_Qq/,"IG reel",,Lifetime,1039,967,2,56,2,10,1,2617
17900867243326504,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","Don’t miss a thing and sign up to our newsletter today!

For a limited time you can get a free personalization when you sign up to our newsletter 💌

You can place a special name, date, or short phrase inside your painting 🖼 

See the link in today's story to enter.",0,"12/27/2021 11:12",https://www.instagram.com/jeanpierreweillpaintings/p/CX_7SDOv3Dy/,"IG image",,Lifetime,90,84,0,7,0,0,,
17902875818306221,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","Here’s to all the important things in life! Happy Holidays to you and your family ✨",0,"12/24/2021 08:12",https://www.instagram.com/jeanpierreweillpaintings/p/CX33V_4LYYQ/,"IG image",,Lifetime,89,83,0,12,0,0,,
17943624823676977,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","Which detail stands out to you most? 👀 

#artofinstagram #artlife #artistsoninstagram #artwork",8,"12/21/2021 09:12",https://www.instagram.com/jeanpierreweillpaintings/reel/CXwK6yEptkY/,"IG reel",,Lifetime,972,920,1,132,2,10,,4463
17905264451365497,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","One of our customers started quite the collection and then sent us this photo. We’d love to see your home photos with our artwork as well! 

Send us a pic for a chance to be featured on our page. It’ll bring us so much joy. 🙌🏽",0,"12/20/2021 06:12",https://www.instagram.com/jeanpierreweillpaintings/p/CXtW-ZzrssS/,"IG image",,Lifetime,304,273,1,59,4,10,,
17900713907317230,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","Here’s a very close look at the assembly process! 

These layers of painted glass are combined to create each piece of artwork. 

Do you enjoy watching how it’s constructed? 

#artwork #artprocess #artistsoninstagram #jeanpierreweillart #artlike #3dpainting",13,"12/16/2021 09:12",https://www.instagram.com/jeanpierreweillpaintings/reel/CXjXjVojqjh/,"IG reel",,Lifetime,5774,5774,43,239,4,150,2,2946
18215997688098627,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","Limitless ———

Looking to the horizon, propelled forward by cycling and favorable winds the sense of camaraderie is tangible. These two are off on great adventures.

Tag someone you’d go on great adventures with in the comments below! 💬",0,"12/15/2021 07:12",https://www.instagram.com/jeanpierreweillpaintings/p/CXgf9hIObM8/,"IG image",,Lifetime,156,148,0,29,6,4,,
17898640208333693,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","Did you know that we’re based in Tekoa, Israel? Don’t worry, we ship worldwide! 📦 Take a look around and let us know what you think. ☺️

#madeinisrael #studiotour #artstudio #artistsoninstagram",21,"12/13/2021 14:12",https://www.instagram.com/jeanpierreweillpaintings/reel/CXcJQ7-D5Zi/,"IG reel",,Lifetime,993,953,5,146,4,29,1,4684
17921871254069018,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","Meet The Family { Part 1 } : A series

We love our little family studio and we wanted to introduce you to all the players that make your art a reality! 

Starting with Ayala:

Ayala has been with us for 6 months and when she’s not busy gift wrapping your artwork, she’s usually found playing barista for the rest of the team and carrying the heavy boxes, she’s strong! 💪 Her favorite part of the job is working with her hands and her favorite artist is her grandfather. 🥺

Thank you Ayala for bringing such a positive energy to the studio! ✨",0,"12/09/2021 07:12",https://www.instagram.com/jeanpierreweillpaintings/p/CXRHsrjLjFO/,"IG image",,Lifetime,117,109,0,28,0,1,,
17927826814930779,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","Self care reminder: water yourself!🚰",5,"12/07/2021 08:12",https://www.instagram.com/jeanpierreweillpaintings/reel/CXMBe8PDubV/,"IG reel",,Lifetime,912,873,0,44,0,5,,1851
18009426403343601,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","From the very new Classique collection: 

Ballerinas

Ripples of dance appear to splash  color through space. This painting  was inspired by the elegance of an  art that appears effortless but has, in fact, been carefully choreographed. The bright yet  unpretentious accents of color will  add something special to your  home.

#artlike #jeanpierreweillart #classiquecollection #artwork #artdisplay",0,"12/06/2021 10:12",https://www.instagram.com/jeanpierreweillpaintings/p/CXJqmrbO1a4/,"IG image",,Lifetime,98,93,0,22,0,1,,
17898338819435573,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","We LOVE hearing your feedback! Thank you Shailee!",0,"12/02/2021 11:12",https://www.instagram.com/jeanpierreweillpaintings/p/CW_dx6SPsic/,"IG carousel",,Lifetime,96,91,0,25,0,2,,
17889844487453000,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","From our family to yours —
Have a very Happy Hanukkah! 🤗

#hanukkah #chanukah #happyhanukkah",0,"11/30/2021 07:11",https://www.instagram.com/jeanpierreweillpaintings/p/CW54pz-rZJe/,"IG image",,Lifetime,101,96,0,64,4,1,,
18251429086068825,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","JUST STAY CALM we’re getting your Hanukkah gift orders to you! 
🕎 🖼 🎁",6,"11/28/2021 11:11",https://www.instagram.com/jeanpierreweillpaintings/reel/CW1KqMHDYY6/,"IG reel",,Lifetime,880,844,0,54,1,2,,2793
17939114101691452,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","From our family to yours ——
We wish you the Happiest Thanksgiving! 😊",0,"11/25/2021 07:11",https://www.instagram.com/jeanpierreweillpaintings/p/CWtBdsrL-TP/,"IG image",,Lifetime,132,127,0,24,0,6,,
17928412372800818,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","The technique you see here allows each painting to be enriched by elements of light and shadow. ✨

#Blackfridaysale happening now on ALL collections 🌟

#3dpainting #artgallery #artistsoninstagram #madeinisrael #artprocess",4,"11/23/2021 07:11",https://www.instagram.com/jeanpierreweillpaintings/reel/CWn5HjBj-ck/,"IG reel",,Lifetime,982,906,9,272,4,83,,6331
17996572069385726,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","Did you know that our Black Friday Sale already started!?*

Shop the mini collection through the link in our bio and then let us know which pieces you chose!

*Free shipping worldwide

#blackfriday #blackfridaysale #artsale #instaart #artwork #3dart",0,"11/22/2021 08:11",https://www.instagram.com/jeanpierreweillpaintings/p/CWlZIKUrx5D/,"IG image",,Lifetime,180,169,0,30,1,0,,
17903548685187946,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","Hey - welcome to our studio. 😊 👋🏻 

#instaart #israeliart #studiolife #madeinisrael #familystudio #jeanpierreweill #glassart",8,"11/09/2021 12:11",https://www.instagram.com/jeanpierreweillpaintings/reel/CWEXZjBDg7_/,"IG reel",,Lifetime,1321,1251,2,260,8,23,2,6739
18264098983031735,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","🔊 on 🔊
🌟🌟🌟
What makes our paintings the PERFECT GIFT, you ask????
🌟🌟🌟

Well tell you!!
😍🎁🎁🎁😍

#perfectgift #thebestgift #transformingartintolove #finearts #lifestyle #interiordesign #culture #artist #decrotivearts #3Dart #uniqueart #glass #painting #artoftheday #gift #artist #instaart #israeliart #familystudio #artlover #artistlife #createeveryday #homedecor #acrylics #specialgift #customizedgift #familyart #studio #popularculture #newproducts",42,"11/02/2021 04:11",https://www.instagram.com/jeanpierreweillpaintings/p/CVxbpCco1gn/,"IG reel",,Lifetime,893,844,1,31,5,10,,
18045669562306278,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","Art in the home 🏠❤

Free shipping worldwide 😉

#transformingartintolove #finearts #lifestyle #interiordesign #culture #artist #decrotivearts #3Dart #uniqueart #glass #painting #artoftheday #gift #artist #instaart #israeliart #familystudio #artlover #artistlife #createeveryday #homedecor #acrylics #specialgift #customizedgift #familyart #studio #popularculture #newproducts",18,"10/25/2021 05:10",https://www.instagram.com/jeanpierreweillpaintings/reel/CVc20fOIieM/,"IG reel",,Lifetime,868,826,1,31,0,7,,1603
17919629032953229,17841402356724119,jeanpierreweillpaintings,"3D Painting on Glass","🔊 turn on your sound! 💫

New York Jazz, one of our classics from our Petite Collection :) 

We love hearing from our customers how much they are enjoying the 3D world of art we create! And its extra special when we get to see how beautiful it looks in thier homes!

😍 hope you enjoy this as much as we did 😍

#nylove #romanticart #transformingartintolove #finearts #lifestyle #interiordesign #culture #artist #decrotivearts #3Dart #uniqueart #glass #painting #artoftheday #gift #artist #instaart #israeliart #familystudio #artlover #artistlife #createeveryday #homedecor #acrylics #specialgift #customizedgift #familyart #studio #popularculture #newproducts",29,"10/24/2021 10:10",https://www.instagram.com/jeanpierreweillpaintings/reel/CVa1uZvIOD_/,"IG reel",,Lifetime,798,759,0,45,0,3,,1789
