id,message,promotion_status,status_type,created_time,properties,post_clicks,post_clicks_by_type,post_impressions,post_impressions_unique,post_impressions_paid,post_impressions_paid_unique,post_impressions_fan,post_impressions_fan_unique,post_impressions_organic,post_impressions_organic_unique,post_impressions_viral,post_impressions_viral_unique,post_impressions_nonviral,post_impressions_nonviral_unique,post_video_avg_time_watched,post_video_complete_views_organic,post_video_complete_views_organic_unique,post_video_complete_views_paid,post_video_complete_views_paid_unique,post_video_retention_graph,post_video_retention_graph_clicked_to_play,post_video_retention_graph_autoplayed,post_video_views_organic,post_video_views_organic_unique,post_video_views_paid,post_video_views,post_video_social_actions_count_unique,post_activity_by_action_type_unique,post_reactions_like_total,post_reactions_love_total,post_reactions_wow_total,post_reactions_haha_total,post_reactions_sorry_total,post_reactions_anger_total,like,share,comment
124319427612935_1111928650936172,"🎉 November Art Sale Alert! 🎉

Snag your favorites from the Jean Pierre Weill collection at up to 35% off! Minis, Petites, and Gallery Editions – all discounted for a limited time. ✨

Mini: 10% off
Petite: 25% off
Gallery Editions: 35% off

📅 Sale runs Nov 1 - 30
🌍 International shipping available!

Shop the art you’ve been dreaming of at jeanpierreweill.com 💫",inactive,added_photos,2024-11-03T21:12:14+0000,,16,"{'other clicks': 1, 'photo view': 10, 'link clicks': 5}",358,357,0,0,313,310,358,357,0,0,358,357,,0,0,0,0,{},{},{},0,0,0,0,0,{'like': 5},3,2,0,0,0,0,5,0,0
124319427612935_1089125369883167,You are in our hearts.,inactive,added_photos,2024-10-07T20:35:31+0000,,216,"{'other clicks': 208, 'photo view': 8}",1888,1877,0,0,1666,1657,1888,1877,72,69,1816,1811,,0,0,0,0,{},{},{},0,0,0,0,0,"{'share': 2, 'like': 52, 'comment': 3}",42,2,0,0,8,0,52,2,3
124319427612935_1083224957139875,"✨ We just finished this stunning piece!✨

Do you want to know more about the inspiration behind it? 

Drop your questions in the comments below, and stay tuned for an exclusive reel showcasing the creative process! 🎨💬",inactive,added_photos,2024-09-30T23:24:18+0000,,111,"{'other clicks': 53, 'photo view': 58}",1292,1292,0,0,1140,1140,1292,1292,24,24,1268,1267,,0,0,0,0,{},{},{},0,0,0,0,0,"{'share': 2, 'like': 65, 'comment': 7}",41,19,6,0,0,0,65,2,7
124319427612935_1025065006289204,"✨ This one is for the book lovers 📚✨
Tag a friend who would adore these pieces!",inactive,added_video,2024-07-15T18:10:57+0000,"[{'name': 'Length', 'text': '00:21'}]",8,{'other clicks': 8},447,413,0,0,248,231,447,413,8,8,439,408,10909.0,82,72,0,0,"{'0': 0.9922, '1': 0.9922, '2': 0.9922, '3': 0.9922, '4': 0.9377, '5': 0.8444, '6': 0.7704, '7': 0.7082, '8': 0.6654, '9': 0.6148, '10': 0.5525, '11': 0.5097, '12': 0.4903, '13': 0.4397, '14': 0.4319, '15': 0.4125, '16': 0.3969, '17': 0.3735, '18': 0.3502, '19': 0.3346, '20': 0.3268, '21': 0.3113, '22': 0.2957, '23': 0.2918, '24': 0.284}","{'0': 1, '1': 1, '2': 1, '3': 1, '4': 1, '5': 0.9091, '6': 0.8182, '7': 0.8182, '8': 0.7273, '9': 0.7273, '10': 0.7273, '11': 0.7273, '12': 0.7273, '13': 0.7273, '14': 0.7273, '15': 0.6364, '16': 0.6364, '17': 0.6364, '18': 0.6364, '19': 0.6364, '20': 0.6364, '21': 0.6364, '22': 0.6364, '23': 0.6364, '24': 0.6364}","{'0': 0.9919, '1': 0.9919, '2': 0.9919, '3': 0.9919, '4': 0.935, '5': 0.8415, '6': 0.7683, '7': 0.7033, '8': 0.6626, '9': 0.6098, '10': 0.5447, '11': 0.5, '12': 0.4797, '13': 0.4268, '14': 0.4187, '15': 0.4024, '16': 0.3862, '17': 0.3618, '18': 0.3374, '19': 0.3211, '20': 0.313, '21': 0.2967, '22': 0.2805, '23': 0.2764, '24': 0.2683}",257,223,0,257,22,"{'share': 3, 'like': 19, 'comment': 3}",11,9,0,0,0,0,20,3,3
124319427612935_997016089094096,"Your words mean the world to us! 🌟 Swipe to see some of the incredible testimonials from our amazing community. We appreciate each and every message. 

Share your thoughts and comments below—we’d love to hear from you! 🎨💬",inactive,added_photos,2024-06-06T14:09:08+0000,,15,"{'other clicks': 3, 'photo view': 12}",481,448,0,0,374,350,481,448,0,0,481,448,,0,0,0,0,{},{},{},0,0,0,0,0,"{'like': 7, 'comment': 2}",6,1,0,0,0,0,7,0,2
124319427612935_972019261593779,"From students to art enthusiasts, all are welcome at the Jean Pierre Weill Paintings studio! 🎨✨ 

Whether you’re a group or solo explorer, just drop us a DM to schedule your visit. We can’t wait to share our passion of art with you!",inactive,added_photos,2024-05-02T18:30:04+0000,,89,"{'other clicks': 24, 'photo view': 65}",1432,1358,0,0,1239,1189,1432,1358,1,1,1431,1358,,0,0,0,0,{},{},{},0,0,0,0,0,"{'like': 23, 'comment': 1}",16,7,0,0,0,0,23,0,1
124319427612935_967774828684889,"From Exodus to Renewal: Passover Reflections 🌊 As we recall the splitting of the Sea, let’s remember the courage it takes to embrace new beginnings. 

Passover isn’t just a historical event; it’s a celebration of birth and rebirth. This Passover, let’s honor the journey of our ancestors and the courage it takes to step into the unknown.",inactive,added_photos,2024-04-26T21:13:57+0000,,19,"{'other clicks': 12, 'photo view': 7}",869,814,0,0,718,692,869,814,0,0,869,814,,0,0,0,0,{},{},{},0,0,0,0,0,"{'like': 16, 'comment': 1}",14,2,0,0,0,0,16,0,1
124319427612935_961444889317883,"Let your imagination take flight with ‘Balloon Over Paris’ 🎈✨ where rooftops become runways and hot air balloons paint the sky. 

 Explore more at jeanpierreweill.com and let your dreams soar.",inactive,added_photos,2024-04-17T19:18:26+0000,,51,"{'other clicks': 12, 'photo view': 38, 'link clicks': 1}",948,883,0,0,690,635,948,883,43,41,905,841,,0,0,0,0,{},{},{},0,0,0,0,0,"{'share': 3, 'like': 21, 'comment': 2}",15,5,1,0,0,0,21,3,2
124319427612935_950429930419379,"🎨 Take a moment to pause and immerse yourself in the enchanting world of ‘Dancing Cranes’ by Jean Pierre Weill Paintings. 🌿

🌙 Let the quiet stillness of morning wash over you as five cranes gracefully lift their heads into gentle rays of light. 🕊️

💫 With a crescent of blue moon overhead and the strong yet supple bamboo standing tall, this painting invites you to embrace both movement and stillness. 💖✨

Visit our website jeanpierreweill.com",inactive,added_photos,2024-04-02T19:55:40+0000,,13,"{'other clicks': 1, 'photo view': 12}",818,738,0,0,693,635,818,738,0,0,818,738,,0,0,0,0,{},{},{},0,0,0,0,0,{'like': 12},11,1,0,0,0,0,12,0,0
124319427612935_945797347549304,"Did you know... 👀 

Our father, Jean-Pierre, ignited our beloved studio’s journey in 1992, fueled by a profound blend of artistry and family devotion. From the inception of our mesmerizing 3D paintings to our relocation to Israel about a decade ago, every stroke of light and shadow has been a testament to our shared passion.

As his daughters, Davida and Safira, we’ve infused our vibrant palette with fresh perspectives and boundless creativity, enriching our artistic legacy.

Our bond as a family studio isn’t just the foundation of our art—it’s the heartbeat that sustains it. ✨

Share this with your father, as a heartfelt reminder of the love and inspiration he brings to your life.  💖",inactive,added_photos,2024-03-27T17:49:41+0000,,129,"{'other clicks': 33, 'photo view': 96}",1817,1789,0,0,1437,1408,1817,1789,19,19,1798,1775,,0,0,0,0,{},{},{},0,0,0,0,0,"{'share': 1, 'like': 28, 'comment': 1}",21,11,0,0,0,0,32,1,2
124319427612935_941451157983923,"For Adar >>> When you purchase artwork from our family studio this month, we will gift a 3D painting on glass to a family who has been evacuated from their home for free. 💝 

How does it work?
1. You purchase the artwork you love.
2. At checkout, write us a note that says: TRANSFORM. 
3. If you wish, add some words for the family who will receive our gift.
4. We will send you the work you purchased. We will also send a 3D painting on glass to a family who has been evacuated from their home. 

Let’s channel this months energy and transform lives together. ⚡️💗

Get started on www.jeanpierreweill.com",inactive,added_photos,2024-03-21T20:55:19+0000,,15,"{'other clicks': 4, 'photo view': 11}",817,766,0,0,715,678,817,766,5,1,812,766,,0,0,0,0,{},{},{},0,0,0,0,0,{'like': 3},3,0,0,0,0,0,3,1,0
