Item ID,Title,Click potential,Feed label,Language,Item status,Channels,Issue title,Issue additional information,Traffic type,Country,Issue severity
cean,An i in the O-cean,Low,US,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Unable to view store on desktop,Update your online store so that it can be viewed from desktop devices,Discovery Ads,United States,SEVERITY_DISAPPROVED
cean,An i in the O-cean,Low,US,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Unable to view store on desktop,Update your online store so that it can be viewed from desktop devices,Discovery Ads Discover Surface,United States,SEVERITY_DISAPPROVED
cean,An i in the O-cean,Low,US,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Unable to view store on desktop,Update your online store so that it can be viewed from desktop devices,Free listings,United States,SEVERITY_DISAPPROVED
cean,An i in the O-cean,Low,US,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Unable to view store on desktop,Update your online store so that it can be viewed from desktop devices,Shopping ads,United States,SEVERITY_DISAPPROVED
cean,An i in the O-cean,Low,US,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Unable to view store on desktop,Update your online store so that it can be viewed from desktop devices,Video Ads,United States,SEVERITY_DISAPPROVED
cean,An i in the O-cean,Low,US,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Unable to view store on mobile,Update your online store so that it can be viewed from mobile devices,Discovery Ads,United States,SEVERITY_DISAPPROVED
cean,An i in the O-cean,Low,US,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Unable to view store on mobile,Update your online store so that it can be viewed from mobile devices,Discovery Ads Discover Surface,United States,SEVERITY_DISAPPROVED
cean,An i in the O-cean,Low,US,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Unable to view store on mobile,Update your online store so that it can be viewed from mobile devices,Free listings,United States,SEVERITY_DISAPPROVED
cean,An i in the O-cean,Low,US,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Unable to view store on mobile,Update your online store so that it can be viewed from mobile devices,Shopping ads,United States,SEVERITY_DISAPPROVED
cean,An i in the O-cean,Low,US,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Unable to view store on mobile,Update your online store so that it can be viewed from mobile devices,Video Ads,United States,SEVERITY_DISAPPROVED
