billing_country,orders,gross_sales,discounts,returns,net_sales,shipping,taxes,total_sales
United States,319,81113.200,-10249.690,-286.620,70576.890,1020.000,76.920,71673.810
Germany,13,2762.000,-22.910,0.000,2739.090,15.000,0.000,2754.090
Canada,12,2070.510,-49.460,0.000,2021.050,15.000,10.330,2046.380
United Kingdom,17,1984.300,-25.350,0.000,1958.950,15.000,0.000,1973.950
Israel,10,1605.900,-31.980,-7.690,1566.230,15.000,202.020,1783.250
Singapore,2,681.200,0.000,0.000,681.200,0.000,0.000,681.200
Philippines,1,530.000,-53.000,0.000,477.000,0.000,0.000,477.000
Netherlands,4,500.300,-18.900,-10.000,471.400,0.000,0.000,471.400
Panama,1,430.000,0.000,0.000,430.000,0.000,0.000,430.000
Indonesia,1,424.000,0.000,0.000,424.000,0.000,0.000,424.000
Australia,3,409.200,-22.680,0.000,386.520,30.000,0.000,416.520
Russia,1,378.000,0.000,0.000,378.000,15.000,0.000,393.000
South Africa,1,530.000,-159.000,0.000,371.000,0.000,0.000,371.000
Sweden,1,302.400,0.000,0.000,302.400,15.000,0.000,317.400
Italy,2,248.000,-16.900,0.000,231.100,15.000,0.000,246.100
New Zealand,2,230.200,0.000,0.000,230.200,15.000,0.000,245.200
Switzerland,2,230.200,0.000,0.000,230.200,0.000,0.000,230.200
Cambodia,1,189.000,0.000,0.000,189.000,15.000,0.000,204.000
Mexico,1,168.000,0.000,0.000,168.000,15.000,0.000,183.000
France,1,169.000,0.000,0.000,169.000,0.000,0.000,169.000
Ireland,2,160.100,-8.900,0.000,151.200,15.000,0.000,166.200
Brazil,1,294.400,0.000,-142.200,152.200,0.000,0.000,152.200
South Korea,1,151.200,0.000,0.000,151.200,0.000,0.000,151.200
Hong Kong,1,81.100,0.000,0.000,81.100,0.000,0.000,81.100
Greece,1,79.000,0.000,0.000,79.000,0.000,0.000,79.000
Maldives,1,71.100,0.000,0.000,71.100,0.000,0.000,71.100
Ecuador,1,71.100,0.000,0.000,71.100,0.000,0.000,71.100
Spain,2,719.000,-71.900,-647.100,0.000,0.000,0.000,0.000
