product_title,product_vendor,product_type,net_quantity,gross_sales,discounts,returns,net_sales,taxes,total_sales
Nature is a Temple,Jean-Pierre Weill,Grand,1,22000.000,-8800.000,0.000,13200.000,0.000,13200.000
Your favorite Petite 4x larger,Jean-Pierre Weill,,21,9372.000,-502.200,0.000,8869.800,0.000,8869.800
Tree of Life,"""The Tree of Life is stunning! The pictures do not do it justice, the depth of the tree and the colors are just beautiful! "" <br><em>Debra, CA</em>",Gift Collection,21,3395.630,-104.520,0.000,3291.110,19.770,3310.880
Paris Spring,Jean-Pierre Weill,Series,1,3100.000,0.000,0.000,3100.000,0.000,3100.000
Kotel,"""This was an anniversary gift for my wife. She loved the color and the way the painting comes to life. ""<br><em>Micah, IL</em>",Gift Collection,18,2959.830,-44.250,0.000,2915.580,21.970,2937.550
Jerusalem Prayer,"""I knew immediately that my mother would LOVE this gift. I knew because I LOVED it immediately. ""<br><em>Cheryl, IL</em>",Gift Collection,16,2564.030,-52.920,0.000,2511.110,21.970,2533.080
Together,"""My favorite of the mini artworks. It really says it all. No matter what, we are always connected to the ones we love. It captivates me every time I look at it and frankly just makes me happy.""<br><em>Hana, TX</em>",Mini,34,2497.060,-51.300,0.000,2445.760,31.540,2477.300
Mesorah,Jean-Pierre Weill,Gift Collection,13,2132.400,-69.600,0.000,2062.800,0.000,2062.800
Wildflowers,"""This little girl, the horse and the trees of many colors fit perfectly in my granddaughters' room. We will all enjoy it for many years to come.""<br><em>Christine, IL</em>",Gift Collection,11,1850.000,-37.800,0.000,1812.200,0.000,1812.200
Moonlight Dance,"""Ordered this for our bedroom and put it up right across from our bed. Wonderful to wake up to every morning! "" <br><em>Ephraim, WI</em>",Gift Collection,11,1812.200,-38.900,0.000,1773.300,0.000,1773.300
Water Yourself,"""Such a unique and special birthday gift! What better way to remind my daughter to take care of herself than this lovely work of art!"" <br><em>Greg, CA</em>",Mini,24,1762.800,-37.500,0.000,1725.300,0.000,1725.300
Fiddler on the Roof,Jean-Pierre Weill,Gift Collection,11,1736.600,-16.900,0.000,1719.700,0.000,1719.700
Italian Pastel,"“Absolutely amazing picture!” <br><em>LeJuan, AL</em>",Gift Collection,10,1615.740,-73.600,0.000,1542.140,27.460,1569.600
