product_title,variant_title,variant_sku,net_quantity,gross_sales,discounts,returns,net_sales,taxes,total_sales
Nature is a Temple,,,1,22000.000,-8800.000,0.000,13200.000,0.000,13200.000
Your favorite Petite 4x larger,,,21,9372.000,-502.200,0.000,8869.800,0.000,8869.800
Paris Spring,Black,,1,3100.000,0.000,0.000,3100.000,0.000,3100.000
Tree of Life,Black,PCtreeoB,16,2586.000,-91.600,0.000,2494.400,0.000,2494.400
Kotel,Black,PCkotelB,15,2450.630,-18.900,0.000,2431.730,21.970,2453.700
Together,Black,MCtogetB,27,2005.690,-51.300,0.000,1954.390,21.510,1975.900
Jerusalem Prayer,Black,PCjerusB,12,1921.430,-37.800,0.000,1883.630,21.970,1905.600
Mesorah,Black,,11,1774.400,-52.700,0.000,1721.700,0.000,1721.700
Fiddler on the Roof,Black,PCfiddlB,11,1736.600,-16.900,0.000,1719.700,0.000,1719.700
Moonlight Dance,Black,PCmoonlB,10,1661.000,-38.900,0.000,1622.100,0.000,1622.100
Limitless,,CClimitB,3,1284.000,0.000,0.000,1284.000,0.000,1284.000
Western Wall,Black,MCwesteB,17,1206.070,-6.900,0.000,1199.170,10.030,1209.200
Wildflowers,Black,PCwildfB,7,1209.600,-37.800,0.000,1171.800,0.000,1171.800
Birthday Celebration,Black,,7,1096.200,0.000,0.000,1096.200,0.000,1096.200
Venice Autumn,Black,PCvenicB,7,1114.000,-22.680,0.000,1091.320,0.000,1091.320
Open Birdcage,Black,PCopenbB,7,1076.200,-48.920,0.000,1027.280,0.000,1027.280
Water Yourself,Black,MCwateLB,13,979.600,-23.700,0.000,955.900,0.000,955.900
Wings,,CCwingsB,2,954.000,0.000,0.000,954.000,0.000,954.000
Aleph Bet,Black,PCalephB,6,960.600,-101.400,0.000,859.200,0.000,859.200
Dancing Cranes,,CCdanciB,2,854.000,0.000,0.000,854.000,0.000,854.000
Tree of Life,Cream,PCtreeoC,5,809.630,-12.920,0.000,796.710,19.770,816.480
Italian Pastel,Cream,,5,821.940,-39.580,0.000,782.360,27.460,809.820
Shalom,Black,PCshaloB,5,809.400,0.000,0.000,809.400,0.000,809.400
Balloon Over Paris Bridge,Black,PCballoB,5,793.800,0.000,0.000,793.800,0.000,793.800
Rachel's Tomb,Black,PCracheB,5,791.600,0.000,0.000,791.600,0.000,791.600
Feathers,Black,PCfeathB,5,791.600,0.000,0.000,791.600,0.000,791.600
Cranes in Winter,Black,PCcraneB,5,791.600,0.000,0.000,791.600,0.000,791.600
Italian Pastel,Black,,5,793.800,-34.020,0.000,759.780,0.000,759.780
Here's to you!,Black,PCheresB,5,734.030,0.000,0.000,734.030,21.970,756.000
Home,Black,MChomeB,10,734.700,0.000,0.000,734.700,0.000,734.700
Dove,Black,MCdoveB,10,742.600,-9.480,0.000,733.120,0.000,733.120
Child on Beach,Cream,PCchildC,4,680.400,0.000,0.000,680.400,0.000,680.400
Jaffa,Black,,9,734.820,0.000,-67.520,667.300,0.000,667.300
NY Jazz,Black,PCnyjazB,4,660.400,0.000,0.000,660.400,0.000,660.400
Jerusalem Prayer,Cream,PCjerusC,4,642.600,-15.120,0.000,627.480,0.000,627.480
Tree of Purple Hearts,Black,MCtophB,9,649.400,-25.280,0.000,624.120,0.000,624.120
A moment's rest,Black,PCamomeB,4,696.000,-81.830,0.000,614.170,0.000,614.170
Giraffe Heart,Black,PCGiraffB,4,660.400,-54.700,0.000,605.700,0.000,605.700
Hand-written personalization inside your painting,,,61,612.730,-7.700,-7.690,597.340,5.660,603.000
Flying High With You,Black,PCflyinB,3,567.000,0.000,0.000,567.000,0.000,567.000
Small Things,Black,MCsmallB,8,566.200,-13.800,0.000,552.400,0.000,552.400
Paris Morning,Black,PCparisB,3,567.000,-18.900,0.000,548.100,0.000,548.100
Moonlit Dancers,,CCmoonlB,1,1060.000,-53.000,-477.000,530.000,0.000,530.000
Tree,,CCtreeB,1,530.000,0.000,0.000,530.000,0.000,530.000
Cat,Black,MCcatB,8,659.400,-84.800,-71.100,503.500,0.000,503.500
Kotel,Cream,PCkotelC,3,509.200,-25.350,0.000,483.850,0.000,483.850
Tree of Purple Hearts,Cream,MCtophC,6,464.000,0.000,0.000,464.000,0.000,464.000
Summer Friends,,CCsummeB,1,424.000,0.000,0.000,424.000,0.000,424.000
Soar!,Black,MCsoarB,5,369.200,0.000,0.000,369.200,0.000,369.200
Together,Cream,MCtogetC,5,363.400,0.000,0.000,363.400,0.000,363.400
Friendship,Black,MCfrienB,5,363.400,0.000,0.000,363.400,0.000,363.400
Tree of Orange Hearts,Wood,MCtoohW,5,359.200,0.000,0.000,359.200,0.000,359.200
Open Birdcage,Cream,PCopenbC,2,358.000,0.000,0.000,358.000,0.000,358.000
Jaffa,Wood,,5,376.760,-29.770,0.000,346.990,9.300,356.290
Fiddler,Black,MCfiddlB,5,355.000,0.000,0.000,355.000,0.000,355.000
The Well of Being,,,6,345.430,0.000,0.000,345.430,8.570,354.000
Beginnings,Black,MCbeginB,5,357.100,-6.900,0.000,350.200,0.000,350.200
Small Things,Wood,MCsmallW,5,361.300,-15.800,0.000,345.500,0.000,345.500
Mesorah,Cream,,2,358.000,-16.900,0.000,341.100,0.000,341.100
Birthday Celebration,Cream,,2,340.200,0.000,0.000,340.200,0.000,340.200
Water Yourself,Black / Standard,MCwateLB,5,345.000,-13.800,0.000,331.200,0.000,331.200
Child on Beach,Black,PCchildB,2,320.200,0.000,0.000,320.200,0.000,320.200
Feathers,Cream,PCfeathC,2,320.200,0.000,0.000,320.200,0.000,320.200
Flying High With You,Cream,PCflyinC,2,302.400,0.000,0.000,302.400,0.000,302.400
Wildflowers,Cream,PCwildfC,2,302.400,0.000,0.000,302.400,0.000,302.400
Seaside Serenade,Black,PCseasiB,2,302.400,0.000,0.000,302.400,0.000,302.400
Happy Anniversary,Cream,PChanniC,2,320.200,-20.000,0.000,300.200,0.000,300.200
Sailing,Black,MCsailiB,4,292.300,0.000,0.000,292.300,0.000,292.300
Water Yourself,Cream,MCwateLC,4,288.100,0.000,0.000,288.100,0.000,288.100
Tree of Orange Hearts,Black,MCtoohB,5,357.100,-69.000,0.000,288.100,0.000,288.100
Mazal,Black,MCmazalB,4,298.100,-17.380,0.000,280.720,0.000,280.720
Sweet Year,Wood,MCsweetW,4,274.060,-6.070,0.000,267.990,9.300,277.290
Wonder,Black,MCwondeB,4,282.300,-7.110,0.000,275.190,0.000,275.190
Medical superhero M,Black / Lighter,MCmsmLB,3,217.620,0.000,0.000,217.620,11.480,229.100
Tree of Purple Hearts,Wood,MCtophW,3,221.200,0.000,0.000,221.200,0.000,221.200
Jerusalem,Black,MCjerusB,3,219.100,0.000,0.000,219.100,0.000,219.100
Western Wall,Cream,MCwesteC,3,205.520,0.000,0.000,205.520,11.480,217.000
Daydreams,Black,MCdaydrB,3,213.300,0.000,0.000,213.300,0.000,213.300
Red Riding Hood,Black,MCrrhB,3,229.100,-15.800,0.000,213.300,0.000,213.300
Wonder,Wood,MCwondeW,3,219.100,-7.900,0.000,211.200,0.000,211.200
Sweet Year,Black,MCsweetB,3,211.200,-13.800,0.000,197.400,0.000,197.400
Giraffe Heart,Cream,PCGiraffC,1,189.000,0.000,0.000,189.000,0.000,189.000
Rachel's Tomb,Cream,PCracheC,1,161.540,0.000,0.000,161.540,27.460,189.000
Cranes in Winter,Cream,PCcraneC,1,189.000,0.000,0.000,189.000,0.000,189.000
Jitterbug,Black,PCjitteB,1,189.000,0.000,0.000,189.000,0.000,189.000
John Lennon,Black,PCjohnlB,1,189.000,0.000,0.000,189.000,0.000,189.000
Lone Oak Tree,Black,PCloneoB,1,169.000,0.000,0.000,169.000,0.000,169.000
Wildflowers,Cream / Standard,PCwildfC,1,169.000,0.000,0.000,169.000,0.000,169.000
Men Raining,Black,PCmenraB,1,169.000,0.000,0.000,169.000,0.000,169.000
Ballet,Black,PCballeB,1,169.000,0.000,0.000,169.000,0.000,169.000
Wildflowers,Black / Standard,PCwildfB,1,169.000,0.000,0.000,169.000,0.000,169.000
Ruth,,,2,158.000,0.000,0.000,158.000,0.000,158.000
Jerusalem,Wood,MCjerusW,2,158.000,0.000,0.000,158.000,0.000,158.000
Goat on Balcony,Black,PCgoatoB,1,169.000,-16.900,0.000,152.100,0.000,152.100
Ballet Class,Cream,PCballeC,1,151.200,0.000,0.000,151.200,0.000,151.200
Herod's Mountain,Black,PCherodB,1,151.200,0.000,0.000,151.200,0.000,151.200
NY Jazz,Cream,PCnyjazC,1,151.200,0.000,0.000,151.200,0.000,151.200
Moonlight Dance,Cream,PCmoonlC,1,151.200,0.000,0.000,151.200,0.000,151.200
Time Flies,Black,PCtimefB,1,151.200,0.000,0.000,151.200,0.000,151.200
Bookville,Black,PCbookvB,1,151.200,0.000,0.000,151.200,0.000,151.200
Shape of My Heart,Cream,PCshapeC,1,151.200,0.000,0.000,151.200,0.000,151.200
Ballet Class,Black,PCballeB,1,151.200,0.000,0.000,151.200,0.000,151.200
Here's to you!,Cream,PCheresC,1,151.200,0.000,0.000,151.200,0.000,151.200
Boots,Cream,MCbootsC,2,150.100,0.000,0.000,150.100,0.000,150.100
Wonder,Cream,MCwondeC,2,150.100,0.000,0.000,150.100,0.000,150.100
Water Yourself,Wood,MCwateLW,2,150.100,0.000,0.000,150.100,0.000,150.100
Love,Black / English,MCahavaB,3,219.100,-69.000,0.000,150.100,0.000,150.100
Lone Oak Tree,Cream,PCloneoC,1,169.000,-20.000,0.000,149.000,0.000,149.000
Dove,Wood,MCdoveW,2,142.200,0.000,0.000,142.200,0.000,142.200
Rendezvous,Black,MCrendeB,2,142.200,0.000,0.000,142.200,0.000,142.200
Red Riding Hood,Cream,MCrrhC,2,142.200,0.000,0.000,142.200,0.000,142.200
Tree of Orange Hearts,Cream,MCtoohC,2,140.100,0.000,0.000,140.100,0.000,140.100
Western Wall,Wood,MCwesteW,2,140.100,0.000,0.000,140.100,0.000,140.100
Happy Penguin,Black,MChpengB,2,140.100,0.000,0.000,140.100,0.000,140.100
Herodium,Wood,MCherodW,2,138.000,0.000,0.000,138.000,0.000,138.000
Together,Wood,MCtogetW,2,127.970,0.000,0.000,127.970,10.030,138.000
Mazal,Wood,MCmazalW,2,129.760,-6.070,0.000,123.690,9.300,132.990
Bear,Black,MCbearB,2,148.000,-15.800,0.000,132.200,0.000,132.200
Love,Black / Hebrew,,2,127.970,-5.890,0.000,122.080,9.020,131.100
Love,Wood / English,MCahavaW,1,79.000,0.000,0.000,79.000,0.000,79.000
Penguin,Black,MCpenguiB,1,79.000,0.000,0.000,79.000,0.000,79.000
Dove,Cream,MCdoveC,1,79.000,0.000,0.000,79.000,0.000,79.000
Jaffa,Cream,,1,67.520,0.000,0.000,67.520,11.480,79.000
Herodium,Cream,MCherodC,1,67.520,0.000,0.000,67.520,11.480,79.000
Home,Wood,MChomeW,1,79.000,0.000,0.000,79.000,0.000,79.000
Rendezvous,Cream,MCrendeC,1,79.000,0.000,0.000,79.000,0.000,79.000
Sailing,Wood,MCsailiW,1,71.100,0.000,0.000,71.100,0.000,71.100
Small Things,Cream,MCsmallC,1,71.100,0.000,0.000,71.100,0.000,71.100
Love,Cream / English,MCahavaC,1,71.100,0.000,0.000,71.100,0.000,71.100
Penguin,Cream,MCpenguiC,1,71.100,0.000,0.000,71.100,0.000,71.100
Cat,Cream,MCcatC,1,71.100,0.000,0.000,71.100,0.000,71.100
Medical Superhero F,Cream / Lighter,MCmsfLC,1,71.100,0.000,0.000,71.100,0.000,71.100
Medical Superhero F,Black / Darker,MCmsfDB,1,71.100,0.000,0.000,71.100,0.000,71.100
Boots,Black,MCbootsB,1,71.100,0.000,0.000,71.100,0.000,71.100
Happy Penguin,Cream,MChpengC,1,79.000,-7.900,0.000,71.100,0.000,71.100
Home,Black / Standard,MChomeB,1,69.000,0.000,0.000,69.000,0.000,69.000
Love,Wood / Hebrew,,1,69.000,0.000,0.000,69.000,0.000,69.000
Daydreams,Cream,MCdaydrC,1,69.000,0.000,0.000,69.000,0.000,69.000
Boots,Wood,MCbootsW,1,69.000,0.000,0.000,69.000,0.000,69.000
Home,Wood / Standard,MChomeW,1,58.970,0.000,0.000,58.970,10.030,69.000
Red Riding Hood,Wood,MCrrhW,1,69.000,0.000,0.000,69.000,0.000,69.000
Emet,Black,MCemetB,1,69.000,0.000,0.000,69.000,0.000,69.000
Soar!,Wood,MCsoarW,1,69.000,0.000,0.000,69.000,0.000,69.000
Emet,Wood,MCemetW,1,69.000,-6.900,0.000,62.100,0.000,62.100
Beginnings,Wood,MCbeginW,1,69.000,-13.800,0.000,55.200,0.000,55.200
Medical Superhero F,Wood / Lighter,MCmsfLW,0,71.100,0.000,-71.100,0.000,0.000,0.000
