month,order_id,billing_city,customer_id,product_id,product_price,product_title,product_type,variant_id,variant_sku,variant_title,api_client_title,shipping_city,market_name,total_sales,discounts,orders,customers,net_quantity,ordered_item_quantity
2023-01,5125581144294,Kelowna,6680148934886,0,0.000,,,0,,,Online Store,Kelowna,International,0.000,0.000,0,0,0,0
2023-01,5086626611430,Auburn,4429319798939,5906079547547,69.000,Tree of Orange Hearts,Mini,37053058220187,MCtoohB,Black,Online Store,Springfield,United States,69.000,0.000,1,1,1,1
2023-01,5086626611430,Auburn,4429319798939,0,0.000,,,0,,,Online Store,Springfield,United States,0.000,0.000,0,0,0,0
2023-01,5087234097382,Downingtown,6044981690598,4826366673034,69.000,Together,Mini,33258994925706,MCtogetB,Black,Online Store,Downingtown,United States,69.000,0.000,1,1,1,1
2023-01,5087234097382,Downingtown,6044981690598,0,0.000,,,0,,,Online Store,Downingtown,United States,15.000,0.000,0,0,0,0
2023-01,5129864904934,Huntington Woods,6622440325350,0,0.000,,,0,,,Online Store,West Bloomfield Township,United States,0.000,0.000,0,0,0,0
2023-01,5129864904934,Huntington Woods,6622440325350,4600669896842,169.000,Kotel,Gift Collection,32493256441994,PCkotelB,Black,Online Store,West Bloomfield Township,United States,169.000,0.000,1,1,1,1
2023-01,5103242477798,Potomac,6658018771174,7030030565531,530.000,Tree,Classique,41153211170971,CCtreeB,,Online Store,Washington,United States,530.000,0.000,1,1,1,1
2023-01,5103242477798,Potomac,6658018771174,0,0.000,,,0,,,Online Store,Washington,United States,0.000,0.000,0,0,0,0
2023-01,5109673066726,Huntington Woods,6622440325350,0,0.000,,,0,,,Online Store,Margate,United States,0.000,0.000,0,0,0,0
2023-01,5109673066726,Huntington Woods,6622440325350,4612036624522,169.000,Jerusalem Prayer,Gift Collection,32492898451594,PCjerusB,Black,Online Store,Margate,United States,169.000,0.000,1,1,1,1
2023-01,5095764689126,Tel Aviv Yafo/תל אביב יפו,6652314058982,4826366673034,69.000,Together,Mini,33258995024010,MCtogetW,Wood,Online Store,Tel Aviv Yafo/תל אביב יפו,International,69.000,0.000,1,1,1,1
2023-01,5095764689126,Tel Aviv Yafo/תל אביב יפו,6652314058982,0,0.000,,,0,,,Online Store,Tel Aviv Yafo/תל אביב יפו,International,0.000,0.000,0,0,0,0
2023-01,5110640541926,Bordentown,4307502694555,6203234119,169.000,A moment's rest,Gift Collection,32493203882122,PCamomeB,Black,Online Store,Bordentown,United States,135.200,-33.800,1,1,1,1
2023-01,5110640541926,Bordentown,4307502694555,0,0.000,,,0,,,Online Store,Bordentown,United States,0.000,0.000,0,0,0,0
2023-01,5110640541926,Bordentown,4307502694555,4826366673034,69.000,Together,Mini,33258994925706,MCtogetB,Black,Online Store,Bordentown,United States,55.200,-13.800,1,1,1,1
2023-01,5090389065958,Corte Madera,6646972809446,5280927514779,69.000,Water Yourself,Mini,34575556771995,MCwateLB,Black / Standard,Online Store,Stillwater,United States,69.000,0.000,1,1,1,1
2023-01,5090389065958,Corte Madera,6646972809446,0,0.000,,,0,,,Online Store,Stillwater,United States,0.000,0.000,0,0,0,0
2023-01,5113201197286,Naples,6666791813350,0,0.000,,,0,,,Online Store,Naperville,United States,0.000,0.000,0,0,0,0
2023-01,5113201197286,Naples,6666791813350,7462201950438,69.000,Happy Penguin,Mini,42095352185062,MChpengB,Black,Online Store,Naperville,United States,69.000,0.000,1,1,1,1
2023-01,5086763155686,Centerton,5972175814886,5280927514779,69.000,Water Yourself,Mini,34575556771995,MCwateLB,Black / Standard,Online Store,Middlebury,United States,69.000,0.000,1,1,1,1
2023-01,5086763155686,Centerton,5972175814886,0,0.000,,,0,,,Online Store,Middlebury,United States,0.000,0.000,0,0,0,0
2023-01,5100534563046,Columbia,4332472959131,5280927514779,69.000,Water Yourself,Mini,34575556771995,MCwateLB,Black / Standard,Online Store,Columbia,United States,69.000,0.000,1,1,1,1
2023-01,5100534563046,Columbia,4332472959131,0,0.000,,,0,,,Online Store,Columbia,United States,15.000,0.000,0,0,0,0
2023-01,5126756008166,Washington,6681547374822,4612009623690,169.000,Aleph Bet,Gift Collection,32492690210954,PCalephB,Black,Online Store,Washington,United States,405.600,-101.400,1,1,3,3
2023-01,5126756008166,Washington,6681547374822,0,0.000,,,0,,,Online Store,Washington,United States,0.000,0.000,0,0,0,0
2023-01,5122002223334,Toronto,5253975572635,4826526285962,69.000,Beginnings,Mini,33259441160330,MCbeginW,Wood,Online Store,Toronto,International,55.200,-13.800,1,1,1,1
2023-01,5122002223334,Toronto,5253975572635,5480589525147,69.000,Sweet Year,Mini,35426691448987,MCsweetB,Black,Online Store,Toronto,International,55.200,-13.800,1,1,1,1
2023-01,5122002223334,Toronto,5253975572635,0,0.000,,,0,,,Online Store,Toronto,International,0.000,0.000,0,0,0,0
2023-01,5119543214310,Houston,4382671044763,5906079547547,69.000,Tree of Orange Hearts,Mini,37053058220187,MCtoohB,Black,Online Store,Houston,United States,69.000,0.000,1,1,1,1
2023-01,5119543214310,Houston,4382671044763,0,0.000,,,0,,,Online Store,Houston,United States,0.000,0.000,0,0,0,0
